row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018 > Quá hạn,Tại ngày 31 tháng 12 năm 2018 > Dưới 1 tháng,Tại ngày 31 tháng 12 năm 2018 > Từ 1 đến 3 tháng,Tại ngày 31 tháng 12 năm 2018 > Từ trên 3 đến 6 tháng,Tại ngày 31 tháng 12 năm 2018 > Từ trên 6 đến 12 tháng,Tại ngày 31 tháng 12 năm 2018 > Từ trên 1 đến 5 năm,Tại ngày 31 tháng 12 năm 2018 > Trên 5 năm,numeric__Tại ngày 31 tháng 12 năm 2018 > Quá hạn,numeric__Tại ngày 31 tháng 12 năm 2018 > Dưới 1 tháng,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ 1 đến 3 tháng,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 3 đến 6 tháng,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 6 đến 12 tháng,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 1 đến 5 năm,numeric__Tại ngày 31 tháng 12 năm 2018 > Trên 5 năm
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,
▪ VND,Tiền gửi tại NHNNVN > ▪ VND,▪ VND,-,"0,60%",-,-,-,-,-,,0.006,,,,,
▪ Ngoại tệ,Tiền gửi tại NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,03%",-,-,-,-,-,,0.0003,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,"4,9%","5,59%",-,-,-,-,,0.049,0.0559,,,,
▪ Ngoại tệ,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,"2,7%","2,80%",-,-,-,-,,0.027000000000000003,0.027999999999999997,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,
▪ VND,Cho vay khách hàng > ▪ VND,▪ VND,"11,13%","9,49%","8,88%","9,80%","10,01%","9,56%","10,23%",0.11130000000000001,0.0949,0.0888,0.098,0.1001,0.0956,0.1023
▪ Ngoại tệ,Cho vay khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,"5,74%","3,81%","3,44%","4,84%","4,12%","4,01%",-,0.0574,0.0381,0.0344,0.0484,0.0412,0.0401,
