row_label_raw,row_label_full,col_0,Cho vaykhách hàng– gộpTriệu VND,Tiền gửicủa kháchhàngTriệu VND,Phát hànhgiấy tờ cógiáTriệu VND,Nợ tiềm tàngvà các camkết tín dụng– gộpTriệu VND,Chứngkhoán đầutur – gộpTriệu VND,"Góp vốn, đầutur dài hạn– gộpTriệu VND",Tiền gửi vàcho vay cáctTCTD khácTriệu VND,Tiền gửi vàvay từ cáctTCTD khácTriệu VND,Công cụ tàichính phải sinh(Tổng giá trịgiao dịch theohợp đồng)Triệu VND,numeric__Cho vaykhách hàng– gộpTriệu VND,numeric__Tiền gửicủa kháchhàngTriệu VND,numeric__Phát hànhgiấy tờ cógiáTriệu VND,numeric__Nợ tiềm tàngvà các camkết tín dụng– gộpTriệu VND,numeric__Chứngkhoán đầutur – gộpTriệu VND,"numeric__Góp vốn, đầutur dài hạn– gộpTriệu VND",numeric__Tiền gửi vàcho vay cáctTCTD khácTriệu VND,numeric__Tiền gửi vàvay từ cáctTCTD khácTriệu VND,numeric__Công cụ tàichính phải sinh(Tổng giá trịgiao dịch theohợp đồng)Triệu VND
Trong nước,Trong nước,Trong nước,113.254.792,137.642.435,-,9.521.819,16.883.990,-,20.373.174,8.063.808,82.331.077,113254792.0,137642435.0,,9521819.0,16883990.0,,20373174.0,8063808.0,82331077.0
Nước ngoài,Nước ngoài,Nước ngoài,,1.636.029,-,168.903,-,-,5.484.423,579.375,2.227.247,,1636029.0,,168903.0,,,5484423.0,579375.0,2227247.0
,,,113.254.792,139.278.464,-,9.690.722,16.883.990,-,25.857.597,8.643.183,84.558.324,113254792.0,139278464.0,,9690722.0,16883990.0,,25857597.0,8643183.0,84558324.0
