row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2019 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,2.630.283,-,-,-,-,-,-,2.630.283,,2630283.0,,,,,,,2630283.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,5.737.641,-,-,-,-,-,5.737.641,,,5737641.0,,,,,,5737641.0
Tiền gửi và cho vay các tổ chứctín dụng khác,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác,Tiền gửi và cho vay các tổ chứctín dụng khác,-,-,25.419.587,438.010,-,-,-,-,25.857.597,,,25419587.0,438010.0,,,,,25857597.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,207.803,-,-,-,-,-,-,207.803,,207803.0,,,,,,,207803.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.543.164,-,58.843.267,32.198.278,7.499.050,2.341.353,1.887.584,7.942.096,113.254.792,2543164.0,,58843267.0,32198278.0,7499050.0,2341353.0,1887584.0,7942096.0,113254792.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,4.668.152,675.538,2.653.620,803.668,1.514.000,5.336.115,1.232.897,16.883.990,,4668152.0,675538.0,2653620.0,803668.0,1514000.0,5336115.0,1232897.0,16883990.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.444.021,-,-,-,-,-,-,3.444.021,,3444021.0,,,,,,,3444021.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,425.881,2.935.640,-,-,-,-,-,-,3.361.521,425881.0,2935640.0,,,,,,,3361521.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.969.045,13.885.899,90.676.033,35.289.908,8.302.718,3.855.353,7.223.699,9.174.993,171.377.648,2969045.0,13885899.0,90676033.0,35289908.0,8302718.0,3855353.0,7223699.0,9174993.0,171377648.0
