row_label_raw,row_label_full,col_0,Tỷ giá hối đoái tại ngày > 31/12/2019,Tỷ giá hối đoái tại ngày > 31/12/2018,numeric__Tỷ giá hối đoái tại ngày > 31/12/2019,numeric__Tỷ giá hối đoái tại ngày > 31/12/2018
USD/VND,USD/VND,USD/VND,23.175,23.220,23175.0,23220.0
EUR/VND,EUR/VND,EUR/VND,25.975,26.567,25975.0,26567.0
XAU/VND (chì),XAU/VND (chì),XAU/VND (chì),4.250.000,3.642.000,4250000.0,3642000.0
GBP/VND,GBP/VND,GBP/VND,30.392,29.450,30392.0,29450.0
CHF/VND,CHF/VND,CHF/VND,23.925,23.595,23925.0,23595.0
CAD/VND,CAD/VND,CAD/VND,17.752,17.036,17752.0,17036.0
AUD/VND,AUD/VND,AUD/VND,16.223,16.359,16223.0,16359.0
SGD/VND,SGD/VND,SGD/VND,17.189,16.995,17189.0,16995.0
NZD/VND,NZD/VND,NZD/VND,15.614,15.580,15614.0,15580.0
HKD/VND,HKD/VND,HKD/VND,2.976,2.964,2976.0,2964.0
NOK/VND,NOK/VND,NOK/VND,2.695,2.668,2695.0,2668.0
THB/VND,THB/VND,THB/VND,776,717,776.0,717.0
JPY/VND,JPY/VND,JPY/VND,213,208,213.0,208.0
