row_label_raw,row_label_full,Giấy phép Thành lập và Hoạt động Ngân hàng số > Giấy Chứng nhận Đăng ký Kinh doanh số > Hội đồng Quản trị,11/NH-GP > Giấy phép Thành lập và Hoạt động Ngân hàng được cấp bởi Ngân hàng Nhà nước Việt Nam và có hiệu lực trong vòng 50 năm kể từ ngày cấp. > 0301179079 > Giấy Chứng nhận Đăng ký Kinh doanh đã được điều chỉnh nhiều lần và lần điều chỉnh gần nhất là Giấy Chứng nhận Đăng ký Kinh doanh số 0301179079 ngày 10 tháng 9 năm 2018. Giấy Chứng nhận Đăng ký Kinh doanh đầu tiên và các giấy chứng nhận điều chỉnh do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp. > Ông Cao Xuân Ninh > Ông Lê Minh Quốc,ngày 6 tháng 4 năm 1992 > Giấy phép Thành lập và Hoạt động Ngân hàng được cấp bởi Ngân hàng Nhà nước Việt Nam và có hiệu lực trong vòng 50 năm kể từ ngày cấp. > ngày 23 tháng 7 năm 1992 > Giấy Chứng nhận Đăng ký Kinh doanh đã được điều chỉnh nhiều lần và lần điều chỉnh gần nhất là Giấy Chứng nhận Đăng ký Kinh doanh số 0301179079 ngày 10 tháng 9 năm 2018. Giấy Chứng nhận Đăng ký Kinh doanh đầu tiên và các giấy chứng nhận điều chỉnh do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp. > Chủ tịch(từ ngày 22 tháng 5 năm 2019) > Chủ tịch(dến ngày 22 tháng 5 năm 2019),numeric__11/NH-GP > Giấy phép Thành lập và Hoạt động Ngân hàng được cấp bởi Ngân hàng Nhà nước Việt Nam và có hiệu lực trong vòng 50 năm kể từ ngày cấp. > 0301179079 > Giấy Chứng nhận Đăng ký Kinh doanh đã được điều chỉnh nhiều lần và lần điều chỉnh gần nhất là Giấy Chứng nhận Đăng ký Kinh doanh số 0301179079 ngày 10 tháng 9 năm 2018. Giấy Chứng nhận Đăng ký Kinh doanh đầu tiên và các giấy chứng nhận điều chỉnh do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp. > Ông Cao Xuân Ninh > Ông Lê Minh Quốc,numeric__ngày 6 tháng 4 năm 1992 > Giấy phép Thành lập và Hoạt động Ngân hàng được cấp bởi Ngân hàng Nhà nước Việt Nam và có hiệu lực trong vòng 50 năm kể từ ngày cấp. > ngày 23 tháng 7 năm 1992 > Giấy Chứng nhận Đăng ký Kinh doanh đã được điều chỉnh nhiều lần và lần điều chỉnh gần nhất là Giấy Chứng nhận Đăng ký Kinh doanh số 0301179079 ngày 10 tháng 9 năm 2018. Giấy Chứng nhận Đăng ký Kinh doanh đầu tiên và các giấy chứng nhận điều chỉnh do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp. > Chủ tịch(từ ngày 22 tháng 5 năm 2019) > Chủ tịch(dến ngày 22 tháng 5 năm 2019)
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Đăng Anh Mai,Phó Chủ tịch,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Yasuhiro Saitoh,Phó Chủ tịch,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Nguyễn Quang Thông,Phó Chủ tịch(từ ngày 28 tháng 2 năm 2020),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Minh Quốc,Thành viên độc lập(từ ngày 22 tháng 5 năm 2019),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Nguyễn Quang Thông,Thành viên(dến ngày 28 tháng 2 năm 2020),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Hoàng Tuấn Khải,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Ngô Thanh Tùng,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Cao Xuân Ninh,Thành viên(dến ngày 22 tháng 5 năm 2019),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Văn Quyết,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Yutaka Moriwaki,Thành viên(dến ngày 9 tháng 12 năm 2019),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Lương Thị Cẩm Tú,Thành viên,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Trần Ngọc Dũng,Trường Ban,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Trịnh Bảo Quốc,Thành viên,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Đăng Hữu Tiến,Thành viên,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Phạm Thị Mai Phương,Thành viên,,
