row_label_raw,row_label_full,2019,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,Thiết bịvăn phòngTriệu VND,Tài sảncố định khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sảncố định khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,483.692,742.287,253.781,46.457,612.216,2.138.433,483692.0,742287.0,253781.0,46457.0,612216.0,2138433.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,191,240,-,534,318,1.283,191.0,240.0,,534.0,318.0,1283.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,16.595,23.142,3.293,219,12.767,56.016,16595.0,23142.0,3293.0,219.0,12767.0,56016.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,528,115,(643),-,-,,528.0,115.0,-643.0,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(499),(664),(7.418),(33),(111.170),(119.784),-499.0,-664.0,-7418.0,-33.0,-111170.0,-119784.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,499.979,765.533,249.771,46.534,514.131,2.075.948,499979.0,765533.0,249771.0,46534.0,514131.0,2075948.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,64.861,493.191,185.867,39.562,484.791,1.268.272,64861.0,493191.0,185867.0,39562.0,484791.0,1268272.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,12.860,53.036,13.872,2.344,37.407,119.519,12860.0,53036.0,13872.0,2344.0,37407.0,119519.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,467,113,(580),-,-,,467.0,113.0,-580.0,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(50),(664),(7.388),(33),(107.848),(115.983),-50.0,-664.0,-7388.0,-33.0,-107848.0,-115983.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,77.671,546.030,192.464,41.293,414.350,1.271.808,77671.0,546030.0,192464.0,41293.0,414350.0,1271808.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,418.831,249.096,67.914,6.895,127.425,870.161,418831.0,249096.0,67914.0,6895.0,127425.0,870161.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,422.308,219.503,57.307,5.241,99.781,804.140,422308.0,219503.0,57307.0,5241.0,99781.0,804140.0
