row_label_raw,row_label_full,Số dư cuối năm,31/12/2019 > Triệu VND > Phải thu/(phải trả),31/12/2018 > Triệu VND > Phải thu/(phải trả),numeric__31/12/2019 > Triệu VND > Phải thu/(phải trả),numeric__31/12/2018 > Triệu VND > Phải thu/(phải trả)
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Tiền gửi từ các cổ đông lớn,Các cổ đông lớn > Tiền gửi từ các cổ đông lớn,Tiền gửi từ các cổ đông lớn,(122.793),(1.135.995),-122793.0,-1135995.0
Vay từ các cổ đông lớn,Các cổ đông lớn > Vay từ các cổ đông lớn,Vay từ các cổ đông lớn,(463.500),(638.550),-463500.0,-638550.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tiền gửi từ các bên liên quan khác,Các bên liên quan khác (*) > Tiền gửi từ các bên liên quan khác,Tiền gửi từ các bên liên quan khác,(186.629),(75.873),-186629.0,-75873.0
Lãi phải trả cho các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải trả cho các bên liên quan khác,Lãi phải trả cho các bên liên quan khác,(2.015),(1.404),-2015.0,-1404.0
Cho các bên liên quan khác vay,Các bên liên quan khác (*) > Cho các bên liên quan khác vay,Cho các bên liên quan khác vay,1.532,1.885,1532.0,1885.0
Lãi phải thu các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải thu các bên liên quan khác,Lãi phải thu các bên liên quan khác,5,5,5.0,5.0
