row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Quá hạnTriệu VND,Khôngchịu lãiTriệu VND,Dưới1 thángTriệu VND,Từ 1 đến3 thángTriệu VND,Từ trên 3đến 6 thángTriệu VND,Từ trên 6đến 12 thángTriệu VND,Từ trên 1đến 5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Khôngchịu lãiTriệu VND,numeric__Dưới1 thángTriệu VND,numeric__Từ 1 đến3 thángTriệu VND,numeric__Từ trên 3đến 6 thángTriệu VND,numeric__Từ trên 6đến 12 thángTriệu VND,numeric__Từ trên 1đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,2.356.198,-,-,-,-,-,-,2.356.198,,2356198.0,,,,,,,2356198.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,6.412.125,-,-,-,-,-,6.412.125,,,6412125.0,,,,,,6412125.0
Tiền gửi và cho vay các tổ chứctín dụng khác,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác,Tiền gửi và cho vay các tổ chứctín dụng khác,-,-,16.756.762,2.294.102,-,-,-,-,19.050.864,,,16756762.0,2294102.0,,,,,19050864.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.547.711,-,56.830.771,13.777.578,12.948.973,6.384.738,3.320.296,8.232.510,104.042.577,2547711.0,,56830771.0,13777578.0,12948973.0,6384738.0,3320296.0,8232510.0,104042577.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,5.663.326,50.017,652.139,2.102.801,2.261.242,6.386.457,57.338,17.173.320,,5663326.0,50017.0,652139.0,2102801.0,2261242.0,6386457.0,57338.0,17173320.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,110.566,-,-,-,-,-,-,110.566,,110566.0,,,,,,,110566.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.558.890,-,-,-,-,-,-,3.558.890,,3558890.0,,,,,,,3558890.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,314.060,3.380.657,-,-,-,-,-,-,3.694.717,314060.0,3380657.0,,,,,,,3694717.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.861.771,15.069.637,80.049.675,16.723.819,15.051.774,8.645.980,9.706.753,8.289.848,156.399.257,2861771.0,15069637.0,80049675.0,16723819.0,15051774.0,8645980.0,9706753.0,8289848.0,156399257.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,3.423,24.384,15.182,6.338,-,-,49.327,,,3423.0,24384.0,15182.0,6338.0,,,49327.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,7.095.818,6.470.180,2.445.066,-,-,-,16.011.064,,,7095818.0,6470180.0,2445066.0,,,,16011064.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,36.420.920,29.190.609,23.883.292,16.162.844,13.035.923,281,118.693.869,,,36420920.0,29190609.0,23883292.0,16162844.0,13035923.0,281.0,118693869.0
Công cụ tài chính phải sinh và cáckhoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và cáckhoản nợ tài chính khác,Công cụ tài chính phải sinh và cáckhoản nợ tài chính khác,-,59.258,-,-,-,-,-,-,59.258,,59258.0,,,,,,,59258.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.955.011,-,-,-,-,-,-,2.955.011,,2955011.0,,,,,,,2955011.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,3.014.269,43.520.161,35.685.173,26.343.540,16.169.182,13.035.923,281,137.768.529,,3014269.0,43520161.0,35685173.0,26343540.0,16169182.0,13035923.0,281.0,137768529.0
Mức chênh nhạy cảm với lãi suấtnội bằng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bằng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suấtnội bằng [(3)=(1)-(2)],2.861.771,12.055.368,36.529.514,(18.961.354),(11.291.766),(7.523.202),(3.329.170),8.289.567,18.630.728,2861771.0,12055368.0,36529514.0,-18961354.0,-11291766.0,-7523202.0,-3329170.0,8289567.0,18630728.0
