row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2019Triệu VND,2018Triệu VND,numeric__2019Triệu VND,numeric__2018Triệu VND
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Thu nhập lãi,Các cổ đông lớn > Thu nhập lãi,Thu nhập lãi,669,981,669.0,981.0
Chi phí lãi,Các cổ đông lớn > Chi phí lãi,Chi phí lãi,24.046,34.921,24046.0,34921.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Thu nhập lãi,Các bên liên quan khác (*) > Thu nhập lãi,Thu nhập lãi,101,124,101.0,124.0
Chi phí lãi,Các bên liên quan khác (*) > Chi phí lãi,Chi phí lãi,14.565,4.535,14565.0,4535.0
Thù lao cho các Thành viên Hội đồng Quản trị (**),Các bên liên quan khác (*) > Thù lao cho các Thành viên Hội đồng Quản trị (**),Thù lao cho các Thành viên Hội đồng Quản trị (**),1.868,21.437,1868.0,21437.0
Tạm ứng cho các Thành viên Hội đồng Quản trị,Các bên liên quan khác (*) > Tạm ứng cho các Thành viên Hội đồng Quản trị,Tạm ứng cho các Thành viên Hội đồng Quản trị,11.189,-,11189.0,
Thù lao cho các Thành viên Ban Kiểm soát (**),Các bên liên quan khác (*) > Thù lao cho các Thành viên Ban Kiểm soát (**),Thù lao cho các Thành viên Ban Kiểm soát (**),-,14.500,,14500.0
Tạm ứng cho các Thành viên Ban Kiểm soát,Các bên liên quan khác (*) > Tạm ứng cho các Thành viên Ban Kiểm soát,Tạm ứng cho các Thành viên Ban Kiểm soát,2.667,-,2667.0,
Tiền lương và phụ cấp cho các Thành viên Ban Tổng Giám đốc,Các bên liên quan khác (*) > Tiền lương và phụ cấp cho các Thành viên Ban Tổng Giám đốc,Tiền lương và phụ cấp cho các Thành viên Ban Tổng Giám đốc,38.568,33.680,38568.0,33680.0
