row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2019) > Tài sảnTriệu VND,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2019) > NợTriệu VND,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2019) > Tài sảnTriệu VND,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2019) > NợTriệu VND
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,22.690.628,116.064,-,22690628.0,116064.0,
▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch hoán đổi tiền tệ,▪ Giao dịch hoán đổi tiền tệ,61.867.696,91.739,-,61867696.0,91739.0,
,,,84.558.324,207.803,-,84558324.0,207803.0,
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2018),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2018),,,
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Triệu VND,Tài sảnTriệu VND,NợTriệu VND,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,12.096.741,22.829,-,12096741.0,22829.0,
▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > ▪ Giao dịch hoán đổi tiền tệ,▪ Giao dịch hoán đổi tiền tệ,45.333.233,-,(82.087),45333233.0,,-82087.0
,,,57.429.974,22.829,(82.087),57429974.0,22829.0,-82087.0
