row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Trong hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ trên 1 đến5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Trong hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,2.630.283,-,-,-,-,2.630.283,,,2630283.0,,,,,2630283.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,5.737.641,-,-,-,-,5.737.641,,,5737641.0,,,,,5737641.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,-,-,25.419.587,438.010,-,-,-,25.857.597,,,25419587.0,438010.0,,,,25857597.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,207.803,-,-,-,-,207.803,,,207803.0,,,,,207803.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.933.171,609.993,6.243.840,22.011.002,28.157.469,12.417.973,41.881.344,113.254.792,1933171.0,609993.0,6243840.0,22011002.0,28157469.0,12417973.0,41881344.0,113254792.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,909.561,2.653.620,2.317.668,8.801.212,2.201.929,16.883.990,,,909561.0,2653620.0,2317668.0,8801212.0,2201929.0,16883990.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,5,352,20.868,183.902,3.238.894,3.444.021,,,5.0,352.0,20868.0,183902.0,3238894.0,3444021.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,425.881,-,1.647.991,6.287,283.895,997.467,-,3.361.521,425881.0,,1647991.0,6287.0,283895.0,997467.0,,3361521.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.359.052,609.993,42.796.711,25.109.271,30.779.900,22.400.554,47.322.167,171.377.648,2359052.0,609993.0,42796711.0,25109271.0,30779900.0,22400554.0,47322167.0,171377648.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,-,23.664,17.815,-,-,41.479,,,,23664.0,17815.0,,,41479.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,6.994.058,1.649.125,-,-,-,8.643.183,,,6994058.0,1649125.0,,,,8643183.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,41.154.851,25.555.817,62.580.743,9.986.857,196,139.278.464,,,41154851.0,25555817.0,62580743.0,9986857.0,196.0,139278464.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,3.513.026,53.364,134.272,125.217,-,3.825.879,,,3513026.0,53364.0,134272.0,125217.0,,3825879.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,51.661.935,27.281.970,62.732.830,10.112.074,196,151.789.005,,,51661935.0,27281970.0,62732830.0,10112074.0,196.0,151789005.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],2.359.052,609.993,(8.865.224),(2.172.699),(31.952.930),12.288.480,47.321.971,19.588.643,2359052.0,609993.0,-8865224.0,-2172699.0,-31952930.0,12288480.0,47321971.0,19588643.0
