row_label_raw,row_label_full,Nhà cửa.vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tổng cộngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
543.143.283.586,543.143.283.586,543.143.283.586,1.035.071.438.831,49.751.575.234,42.490.184.630,1.670.456.482.281,1035071438831.0,49751575234.0,42490184630.0,1670456482281.0
-,-,-,4.262.342.550,831.179.811,175.400.000,5.268.922.361,4262342550.0,831179811.0,175400000.0,5268922361.0
63.024.056.917,63.024.056.917,63.024.056.917,59.469.824.509,1.510.153.066,1.290.318.182,125.294.352.674,59469824509.0,1510153066.0,1290318182.0,125294352674.0
24.960.294.838,24.960.294.838,24.960.294.838,6.314.397.867,-,714.301.109,31.988.993.814,6314397867.0,,714301109.0,31988993814.0
(101.102.924.704),(101.102.924.704),(101.102.924.704),(9.418.449.140),-,(714.301.109),(111.235.674.953),-9418449140.0,,-714301109.0,-111235674953.0
169.000.090,169.000.090,169.000.090,(3.694.322.536),-,3.525.322.446,-,-3694322536.0,,3525322446.0,
-,-,-,(6.760.769.309),(1.620.168.609),-,(8.380.937.918),-6760769309.0,-1620168609.0,,-8380937918.0
530.193.710.727,530.193.710.727,530.193.710.727,1.085.244.462.772,50.472.739.502,47.481.225.258,1.713.392.138.259,1085244462772.0,50472739502.0,47481225258.0,1713392138259.0
226.886.760.908,226.886.760.908,226.886.760.908,272.167.919.878,24.886.337.676,20.641.151.233,544.582.169.695,272167919878.0,24886337676.0,20641151233.0,544582169695.0
27.785.238.908,27.785.238.908,27.785.238.908,75.978.558.597,4.565.473.846,3.771.930.696,112.101.202.047,75978558597.0,4565473846.0,3771930696.0,112101202047.0
14.798.865.089,14.798.865.089,14.798.865.089,5.281.461.102,-,597.052.023,20.677.378.214,5281461102.0,,597052023.0,20677378214.0
(83.884.525.658),(83.884.525.658),(83.884.525.658),(8.385.512.375),-,(597.052.023),(92.867.090.056),-8385512375.0,,-597052023.0,-92867090056.0
(130.141.131),(130.141.131),(130.141.131),33.705.354,-,96.435.777,-,33705354.0,,96435777.0,
-,-,-,(5.514.667.414),(1.494.348.663),-,(7.009.016.077),-5514667414.0,-1494348663.0,,-7009016077.0
185.456.198.116,185.456.198.116,185.456.198.116,339.561.465.142,27.957.462.859,24.509.517.706,577.484.643.823,339561465142.0,27957462859.0,24509517706.0,577484643823.0
316.256.522.678,316.256.522.678,316.256.522.678,762.903.518.953,24.865.237.558,21.849.033.397,1.125.874.312.586,762903518953.0,24865237558.0,21849033397.0,1125874312586.0
344.737.512.611,344.737.512.611,344.737.512.611,745.682.997.630,22.515.276.643,22.971.707.552,1.135.907.494.436,745682997630.0,22515276643.0,22971707552.0,1135907494436.0
