row_label_raw,row_label_full,col_0,1/1/2019 VND,Số đã nộp trong năm VND,Số phát sinh/ đã thu được trong năm VND,31/12/2019 VND,numeric__1/1/2019 VND,numeric__Số đã nộp trong năm VND,numeric__Số phát sinh/ đã thu được trong năm VND,numeric__31/12/2019 VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,220.220.199,-,-,220.220.199,220220199.0,,,220220199.0
Văn phòng,Thuế > Văn phòng,Văn phòng,220.220.199,-,-,220.220.199,220220199.0,,,220220199.0
"Thuế xuất, nhập khẩu","Thuế > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",55.458.395,99.591.904,(155.050.299),-,55458395.0,99591904.0,-155050299.0,
Văn phòng,Thuế > Văn phòng,Văn phòng,52.763.159,-,(52.763.159),-,52763159.0,,-52763159.0,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,2.695.236,44.059.548,(46.754.784),-,2695236.0,44059548.0,-46754784.0,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,55.532.356,(55.532.356),-,,55532356.0,-55532356.0,
Thuế môn bài,Thuế > Thuế môn bài,Thuế môn bài,2.000.000,-,(1.500.000),500.000,2000000.0,,-1500000.0,500000.0
Trung tâm Thời trang Vinatex,Thuế > Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,2.000.000,-,(1.500.000),500.000,2000000.0,,-1500000.0,500000.0
,,,277.678.594,99.591.904,(156.550.299),220.720.199,277678594.0,99591904.0,-156550299.0,220720199.0
