row_label_raw,row_label_full,Lợi nhuận trước thuếĐiều chỉnh cho các khoản,01,293.800.611.629,345.377.348.130,numeric__01,numeric__293.800.611.629,numeric__345.377.348.130
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,02,113.162.289.747,103.609.773.998,2.0,113162289747.0,103609773998.0
Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá dođánh giá lại các khoản mục tiền tệ,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá dođánh giá lại các khoản mục tiền tệ,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá dođánh giá lại các khoản mục tiền tệ,03,(13.297.784.727),26.102.695.400,3.0,-13297784727.0,26102695400.0
có gốc ngoại tệ,có gốc ngoại tệ,có gốc ngoại tệ,04,(1.647.605.235),22.503.627.510,4.0,-1647605235.0,22503627510.0
Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(496.074.879.410),(554.915.135.052),5.0,-496074879410.0,-554915135052.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,06,88.449.551.143,77.882.329.851,6.0,88449551143.0,77882329851.0
(Lỗ)/lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,(Lỗ)/lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,(Lỗ)/lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,08,(15.607.816.853),20.560.639.837,8.0,-15607816853.0,20560639837.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,09,(50.623.548.601),2.364.141.917,9.0,-50623548601.0,2364141917.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,10,(23.193.021.077),(97.659.939.030),10.0,-23193021077.0,-97659939030.0
Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,11,90.951.893.353,1.184.894.210,11.0,90951893353.0,1184894210.0
Biến động chi phí trả trước,Biến động chi phí trả trước,Biến động chi phí trả trước,12,6.109.034.450,64.630.467.238,12.0,6109034450.0,64630467238.0
Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,-,47.062.178.000,13.0,,47062178000.0
,,,,7.636.541.272,38.142.382.172,,7636541272.0,38142382172.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(91.903.967.427),(72.397.825.101),14.0,-91903967427.0,-72397825101.0
Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(11.815.646.180),(12.916.338.647),17.0,-11815646180.0,-12916338647.0
Lưu chuyển tiền thuần từ hoạt độngkinh doanh,Lưu chuyển tiền thuần từ hoạt độngkinh doanh,Lưu chuyển tiền thuần từ hoạt độngkinh doanh,20,(96.083.072.335),(47.171.781.576),20.0,-96083072335.0,-47171781576.0
