row_label_raw,row_label_full,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Hà Nội (i) > Ngân hàng Phát triển Châu Á (ii) > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Hồ Chí Minh (iii) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Tân Bình (iv) > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Hoàng Mai (v) > Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Hoàn Kiểm (vi),Loại tiền > USD > VND > USD > VND > USD > VND > USD > VND > USD,"Lãi suất năm % > 2,8 > 9,3 > Thả nổi > 9 > 2,8 > 3,852 > 9,3 > 8,8 > 4,395 > 8,8 > 4,7",Năm đáo hạn > 2025 > 2020-2039 > 2027 > 2028 > 2025 > 2024,31/12/2019 VND > 82.443.998.028 > 51.716.960.190 > 1.625.777.168.044 > 2.625.000.000 > 126.664.853.450 > 129.383.214.576 > 16.207.711.630 > 4.349.371.071 > 31.484.362.360 > 41.596.182.842 > 69.145.140.350,1/1/2019 VND > 93.306.158.498 > 56.756.405.940 > 1.626.826.959.586 > 3.125.000.000 > 146.164.560.000 > 166.027.637.512 > 19.943.187.085 > 4.745.371.071 > 34.367.686.010 > 50.353.262.842 > 80.114.473.625,numeric__Loại tiền > USD > VND > USD > VND > USD > VND > USD > VND > USD,"numeric__Lãi suất năm % > 2,8 > 9,3 > Thả nổi > 9 > 2,8 > 3,852 > 9,3 > 8,8 > 4,395 > 8,8 > 4,7",numeric__Năm đáo hạn > 2025 > 2020-2039 > 2027 > 2028 > 2025 > 2024,numeric__31/12/2019 VND > 82.443.998.028 > 51.716.960.190 > 1.625.777.168.044 > 2.625.000.000 > 126.664.853.450 > 129.383.214.576 > 16.207.711.630 > 4.349.371.071 > 31.484.362.360 > 41.596.182.842 > 69.145.140.350,numeric__1/1/2019 VND > 93.306.158.498 > 56.756.405.940 > 1.626.826.959.586 > 3.125.000.000 > 146.164.560.000 > 166.027.637.512 > 19.943.187.085 > 4.745.371.071 > 34.367.686.010 > 50.353.262.842 > 80.114.473.625
,,,,,,2.181.393.962.541,2.281.730.702.169,,,,2181393962541.0,2281730702169.0
,,,,,,(118.921.620.009),(76.837.097.364),,,,-118921620009.0,-76837097364.0
Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 21(a)),Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 21(a)),Khoản đến hạn trả trong vòng 12 tháng (Thuyết minh 21(a)),,,,2.062.472.342.532,2.204.893.604.805,,,,2062472342532.0,2204893604805.0
