row_label_raw,row_label_full,Vay,Vay_1,Vay_2,Vay_3,Vay_4,Vay_5,numeric__Vay_1,numeric__Vay_2,numeric__Vay_3,numeric__Vay_4,numeric__Vay_5
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
,,,1/1/2019Giá trị ghi số và số có khả năng trả nợ VND,Tăng VND,Biến động trong nămGiảm VND,Chênh lệch tỷ giá VND,31/12/2019Giá trị ghi số và số có khả năng trả nợ VND,,,,,
Vay ngắn hạn,Vay ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,164.750.360.334,569.712.955.800,(512.128.518.017),(500.476.024),221.834.322.093,164750360334.0,569712955800.0,-512128518017.0,-500476024.0,221834322093.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,76.837.097.364,141.308.939.716,(99.128.701.059),(95.716.012),118.921.620.009,76837097364.0,141308939716.0,-99128701059.0,-95716012.0,118921620009.0
,,,241.587.457.698,711.021.895.516,(611.257.219.076),(596.192.036),340.755.942.102,241587457698.0,711021895516.0,-611257219076.0,-596192036.0,340755942102.0
Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,,,,,
,,,,,Loại tiền,Lãi suất năm (%),31/12/2019 VND,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Tây Hà Nội,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Tây Hà Nội,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Tây Hà Nội,USD,"3,5",134.767.483.257,17.639.103.303,,,3.5,134767483257.0,17639103303.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Hà Nội,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Hà Nội,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Hà Nội,USD,"3,5",87.066.838.836,55.194.281.566,,,3.5,87066838836.0,55194281566.0,
Ngân hàng TMCP Ngoại Thương Việt Nam – Chi nhánh Hoàng Mai,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Ngân hàng TMCP Ngoại Thương Việt Nam – Chi nhánh Hoàng Mai,Ngân hàng TMCP Ngoại Thương Việt Nam – Chi nhánh Hoàng Mai,USD,"3,1 - 3,3",-,47.800.237.200,,,,,47800237200.0,
Ngân hàng TNHH Một thành viên Standard Chartered (Việt Nam),Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Ngân hàng TNHH Một thành viên Standard Chartered (Việt Nam),Ngân hàng TNHH Một thành viên Standard Chartered (Việt Nam),USD,"2,85",-,44.116.738.265,,,2.85,,44116738265.0,
,,,,,221.834.322.093,164.750.360.334,,,,221834322093.0,164750360334.0,
