row_label_raw,row_label_full,col_0,1/1/2019 VND,Thuế GTGT đầu ra VND,Số phát sinh trong năm VND,Số đã nộp/ được hoàn trong năm VND,Bù trừ với thuế GTGT đầu vào/ số phải thu VND,31/12/2019 VND,numeric__1/1/2019 VND,numeric__Thuế GTGT đầu ra VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp/ được hoàn trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào/ số phải thu VND,numeric__31/12/2019 VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,,
Thuế GTGT hàng bán nội địa,Thuế > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,795.271.477,49.041.809.553,-,(3.314.407.660),(39.313.564.843),7.209.108.527,795271477.0,49041809553.0,,-3314407660.0,-39313564843.0,7209108527.0
Văn phòng,Thuế > Văn phòng,Văn phòng,-,26.892.187.303,-,(35.235.258),(23.527.973.901),3.328.978.144,,26892187303.0,,-35235258.0,-23527973901.0,3328978144.0
Chi nhánh văn phòng Hồ Chí Minh,Thuế > Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,641.819.497,-,(272.757.373),(321.162.340),47.899.784,,641819497.0,,-272757373.0,-321162340.0,47899784.0
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,13.920.873.762,-,-,(10.979.484.523),2.941.389.239,,13920873762.0,,,-10979484523.0,2941389239.0
Xí nghiệp May Vinatex Quảng Ngãi,Thuế > Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,-,24.846.757,-,-,(24.846.757),-,,24846757.0,,,-24846757.0,
Nhà máy Sản xuất vải Yarn Dyed,Thuế > Nhà máy Sản xuất vải Yarn Dyed,Nhà máy Sản xuất vải Yarn Dyed,-,161.412.532,-,-,(161.412.532),-,,161412532.0,,,-161412532.0,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,2.350.908.432,-,-,(2.350.908.432),-,,2350908432.0,,,-2350908432.0,
Trung tâm Thời trang Vinatex,Thuế > Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,795.271.477,3.808.201.518,-,(3.006.415.029),(736.664.066),860.393.900,795271477.0,3808201518.0,,-3006415029.0,-736664066.0,860393900.0
Nhà máy May Kiên Giang,Thuế > Nhà máy May Kiên Giang,Nhà máy May Kiên Giang,-,30.519.686,-,-,(72.226),30.447.460,,30519686.0,,,-72226.0,30447460.0
Nhà máy May Quế Sơn,Thuế > Nhà máy May Quế Sơn,Nhà máy May Quế Sơn,-,1.211.040.066,-,-,(1.211.040.066),-,,1211040066.0,,,-1211040066.0,
Thuế GTGT hàng nhập khẩu,Thuế > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,-,1.156.936.126,(1.156.936.126),-,-,,,1156936126.0,-1156936126.0,,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,-,236.293.710,(236.293.710),-,-,,,236293710.0,-236293710.0,,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,920.642.416,(920.642.416),-,-,,,920642416.0,-920642416.0,,
Thuế nhà thầu,Thuế > Thuế nhà thầu,Thuế nhà thầu,-,-,19.042.649,(19.042.649),-,-,,,19042649.0,-19042649.0,,
Văn phòng,Thuế > Văn phòng,Văn phòng,-,-,19.042.649,(19.042.649),-,-,,,19042649.0,-19042649.0,,
