row_label_raw,row_label_full,Thay đổi vốn chủ sở hữu,Thay đổi vốn chủ sở hữu_1,Thay đổi vốn chủ sở hữu_2,Thay đổi vốn chủ sở hữu_3,Thay đổi vốn chủ sở hữu_4,Thay đổi vốn chủ sở hữu_5,numeric__Thay đổi vốn chủ sở hữu_1,numeric__Thay đổi vốn chủ sở hữu_2,numeric__Thay đổi vốn chủ sở hữu_3,numeric__Thay đổi vốn chủ sở hữu_4,numeric__Thay đổi vốn chủ sở hữu_5
,,,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Tổng cộng VND,,,,,
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,5.000.000.000.000,29.911.650.892,262.785.062.140,543.092.845.095,5.835.789.558.127,5000000000000.0,29911650892.0,262785062140.0,543092845095.0,5835789558127.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,345.377.348.130,-,345.377.348.130,,,345377348130.0,,345377348130.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,(5.490.153.657),-,(5.490.153.657),,,-5490153657.0,,-5490153657.0
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,(250.000.000.000),-,(250.000.000.000),,,-250000000000.0,,-250000000000.0
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,5.000.000.000.000,29.911.650.892,352.672.256.613,543.092.845.095,5.925.676.752.600,5000000000000.0,29911650892.0,352672256613.0,543092845095.0,5925676752600.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,293.800.611.629,-,293.800.611.629,,,293800611629.0,,293800611629.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,(10.000.000.000),-,(10.000.000.000),,,-10000000000.0,,-10000000000.0
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,(300.000.000.000),-,(300.000.000.000),,,-300000000000.0,,-300000000000.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,5.000.000.000.000,29.911.650.892,336.472.868.242,543.092.845.095,5.909.477.364.229,5000000000000.0,29911650892.0,336472868242.0,543092845095.0,5909477364229.0
