row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2019VND,2018VND,,
Tổng Công ty May Hưng Yên – CTCP,Tổng Công ty May Hưng Yên – CTCP,Tổng Công ty May Hưng Yên – CTCP,Tổng Công ty May Hưng Yên – CTCP,Tổng Công ty May Hưng Yên – CTCP,,
Cổ tức,Tổng Công ty May Hưng Yên – CTCP > Cổ tức,Cổ tức,35.575.848.000,16.602.062.400,35575848000.0,16602062400.0
Cung cấp dịch vụ,Tổng Công ty May Hưng Yên – CTCP > Cung cấp dịch vụ,Cung cấp dịch vụ,239.971.624,202.155.717,239971624.0,202155717.0
Công ty Cổ phần Dệt lụa Nam Định,Công ty Cổ phần Dệt lụa Nam Định,Công ty Cổ phần Dệt lụa Nam Định,Công ty Cổ phần Dệt lụa Nam Định,Công ty Cổ phần Dệt lụa Nam Định,,
Cổ tức,Công ty Cổ phần Dệt lụa Nam Định > Cổ tức,Cổ tức,1.110.832.400,777.591.600,1110832400.0,777591600.0
Công ty Cổ phần May Nam Định,Công ty Cổ phần May Nam Định,Công ty Cổ phần May Nam Định,Công ty Cổ phần May Nam Định,Công ty Cổ phần May Nam Định,,
Cổ tức,Công ty Cổ phần May Nam Định > Cổ tức,Cổ tức,1.080.000.000,1.440.000.000,1080000000.0,1440000000.0
Cung cấp dịch vụ,Công ty Cổ phần May Nam Định > Cung cấp dịch vụ,Cung cấp dịch vụ,-,135.083.254,,135083254.0
Công ty TNHH May mặc Xuất khẩu Tân Châu,Công ty TNHH May mặc Xuất khẩu Tân Châu,Công ty TNHH May mặc Xuất khẩu Tân Châu,Công ty TNHH May mặc Xuất khẩu Tân Châu,Công ty TNHH May mặc Xuất khẩu Tân Châu,,
Nhận hoàn trả lãi và gốc cho vay,Công ty TNHH May mặc Xuất khẩu Tân Châu > Nhận hoàn trả lãi và gốc cho vay,Nhận hoàn trả lãi và gốc cho vay,1.505.161.905,-,1505161905.0,
Thu nhập tiền lãi,Công ty TNHH May mặc Xuất khẩu Tân Châu > Thu nhập tiền lãi,Thu nhập tiền lãi,35.119.749,95.665.454,35119749.0,95665454.0
Tổng Công ty May Nhà Bè - CTCP,Tổng Công ty May Nhà Bè - CTCP,Tổng Công ty May Nhà Bè - CTCP,Tổng Công ty May Nhà Bè - CTCP,Tổng Công ty May Nhà Bè - CTCP,,
Cổ tức,Tổng Công ty May Nhà Bè - CTCP > Cổ tức,Cổ tức,12.600.000.000,15.120.000.000,12600000000.0,15120000000.0
Bán hàng hóa và cung cấp dịch vụ,Tổng Công ty May Nhà Bè - CTCP > Bán hàng hóa và cung cấp dịch vụ,Bán hàng hóa và cung cấp dịch vụ,2.313.289.842,1.383.393.374,2313289842.0,1383393374.0
Mua hàng hóa,Tổng Công ty May Nhà Bè - CTCP > Mua hàng hóa,Mua hàng hóa,12.265.000,210.035.427,12265000.0,210035427.0
Công ty Cổ phần Vinatex Đà Nẵng,Công ty Cổ phần Vinatex Đà Nẵng,Công ty Cổ phần Vinatex Đà Nẵng,Công ty Cổ phần Vinatex Đà Nẵng,Công ty Cổ phần Vinatex Đà Nẵng,,
Cổ tức,Công ty Cổ phần Vinatex Đà Nẵng > Cổ tức,Cổ tức,1.800.000.000,1.800.000.000,1800000000.0,1800000000.0
Các khoản đầu tư tài chính dài hạn khác,Các khoản đầu tư tài chính dài hạn khác,Các khoản đầu tư tài chính dài hạn khác,Các khoản đầu tư tài chính dài hạn khác,Các khoản đầu tư tài chính dài hạn khác,,
Công ty Cổ phần Vinatex OJ,Công ty Cổ phần Vinatex OJ,Công ty Cổ phần Vinatex OJ,Công ty Cổ phần Vinatex OJ,Công ty Cổ phần Vinatex OJ,,
Cổ tức,Công ty Cổ phần Vinatex OJ > Cổ tức,Cổ tức,1.622.880.000,-,1622880000.0,
Công ty Cổ phần Sợi Phú Việt,Công ty Cổ phần Sợi Phú Việt,Công ty Cổ phần Sợi Phú Việt,Công ty Cổ phần Sợi Phú Việt,Công ty Cổ phần Sợi Phú Việt,,
Cổ tức,Công ty Cổ phần Sợi Phú Việt > Cổ tức,Cổ tức,484.609.532,-,484609532.0,
Công ty Cổ phần Sợi Phú Nam,Công ty Cổ phần Sợi Phú Nam,Công ty Cổ phần Sợi Phú Nam,Công ty Cổ phần Sợi Phú Nam,Công ty Cổ phần Sợi Phú Nam,,
Cổ tức,Công ty Cổ phần Sợi Phú Nam > Cổ tức,Cổ tức,1.362.005.634,914.870.759,1362005634.0,914870759.0
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,
Lương và thù lao đã trả,Thành viên Hội đồng Quản trị > Lương và thù lao đã trả,Lương và thù lao đã trả,3.160.009.192,3.345.257.204,3160009192.0,3345257204.0
Cơ quan Tổng Giám đốc,Cơ quan Tổng Giám đốc,Cơ quan Tổng Giám đốc,Cơ quan Tổng Giám đốc,Cơ quan Tổng Giám đốc,,
Lương và thù lao đã trả,Cơ quan Tổng Giám đốc > Lương và thù lao đã trả,Lương và thù lao đã trả,3.845.892.767,3.761.689.606,3845892767.0,3761689606.0
