row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,Chênh lệchtỷ giá hối đoái(*)VND,Chi phí khácVND,Tổng cộngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__Chênh lệchtỷ giá hối đoái(*)VND,numeric__Chi phí khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,30.932.097.094,10.397.395.904,9.087.638.620,1.508.347.677,51.925.479.295,30932097094.0,10397395904.0,9087638620.0,1508347677.0,51925479295.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,13.485.050.909,5.631.893.098,-,1.767.771.993,20.884.716.000,13485050909.0,5631893098.0,,1767771993.0,20884716000.0
Phân bổtrong năm,Phân bổtrong năm,Phân bổtrong năm,(1.226.420.008),(6.352.314.470),(3.029.212.872),(2.093.024.360),(12.700.971.710),-1226420008.0,-6352314470.0,-3029212872.0,-2093024360.0,-12700971710.0
Thanh lý,Thanh lý,Thanh lý,-,(2.184.531.251),-,-,(2.184.531.251),,-2184531251.0,,,-2184531251.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,43.190.727.995,7.492.443.281,6.058.425.748,1.183.095.310,57.924.692.334,43190727995.0,7492443281.0,6058425748.0,1183095310.0,57924692334.0
