row_label_raw,row_label_full,Điều chuyển tài sản,18.368.584.897,-,numeric__18.368.584.897,numeric__-
Doanh thu cho thuê tài sản,Doanh thu cho thuê tài sản,Doanh thu cho thuê tài sản,1.447.368.421,1.578.947.368,1447368421.0,1578947368.0
Cung cấp dịch vụ,Cung cấp dịch vụ,Cung cấp dịch vụ,431.446.164,305.103.377,431446164.0,305103377.0
Cổ tức,Cổ tức,Cổ tức,229.630.097,480.629.829,229630097.0,480629829.0
Mua hàng hóa,Mua hàng hóa,Mua hàng hóa,56.818.180,-,56818180.0,
Hoàn trả lãi và phí vay,Hoàn trả lãi và phí vay,Hoàn trả lãi và phí vay,1.356.976.788,2.123.424.960,1356976788.0,2123424960.0
Lãi và phí cho khoản cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Lãi và phí cho khoản cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Lãi và phí cho khoản cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,2.545.233.901,2.235.849.920,2545233901.0,2235849920.0
