row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,2015,2014,numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,27,7.697.947.292.121,7.213.329.446.122,1.0,27.0,7697947292121.0,7213329446122.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,27,32.772.062.485,15.774.625.318,2.0,27.0,32772062485.0,15774625318.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,7.665.175.229.636,7.197.554.820.804,10.0,,7665175229636.0,7197554820804.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,28,6.526.825.680.421,6.407.382.523.035,11.0,28.0,6526825680421.0,6407382523035.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.138.349.549.215,790.172.297.769,20.0,,1138349549215.0,790172297769.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,30,25.202.741.050,48.071.487.482,21.0,30.0,25202741050.0,48071487482.0
7. Chỉ phí tài chính,7. Chỉ phí tài chính,7. Chỉ phí tài chính,22,31,430.803.003.461,95.054.464.191,22.0,31.0,430803003461.0,95054464191.0
- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,23,,81.048.729.469,72.826.281.233,23.0,,81048729469.0,72826281233.0
8. Chỉ phí bán hàng,8. Chỉ phí bán hàng,8. Chỉ phí bán hàng,25,32,414.552.191.198,310.939.565.559,25.0,32.0,414552191198.0,310939565559.0
9. Chỉ phí quản lý doanh nghiệp,9. Chỉ phí quản lý doanh nghiệp,9. Chỉ phí quản lý doanh nghiệp,26,33,115.421.041.014,105.943.645.106,26.0,33.0,115421041014.0,105943645106.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,202.776.054.592,326.306.110.395,30.0,,202776054592.0,326306110395.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,1.622.837.532,1.510.091.758,31.0,,1622837532.0,1510091758.0
12. Chỉ phí khác,12. Chỉ phí khác,12. Chỉ phí khác,32,,4.225.673.585,1.025.601.064,32.0,,4225673585.0,1025601064.0
13. (Lỗ)/ Lợi nhuận khác (40=31-32),13. (Lỗ)/ Lợi nhuận khác (40=31-32),13. (Lỗ)/ Lợi nhuận khác (40=31-32),40,,(2.602.836.053),484.490.694,40.0,,-2602836053.0,484490694.0
14. Lợi nhuận kế toán trước thuế (50=30+40),14. Lợi nhuận kế toán trước thuế (50=30+40),14. Lợi nhuận kế toán trước thuế (50=30+40),50,,200.173.218.539,326.790.601.089,50.0,,200173218539.0,326790601089.0
15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,34,42.130.046.409,70.308.883.318,51.0,34.0,42130046409.0,70308883318.0
16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,34,(1.575.489.218),(219.612.528),52.0,34.0,-1575489218.0,-219612528.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,159.618.661.348,256.701.330.299,60.0,,159618661348.0,256701330299.0
