row_label_raw,row_label_full,C - NỘ PHẢI TRẢ,300,1.268.815.128.041,-,1.268.815.128.041_1,numeric__300,numeric__1.268.815.128.041,numeric__-,numeric__1.268.815.128.041_1
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,1.131.686.128.041,-,1.131.686.128.041,310.0,1131686128041.0,,1131686128041.0
1. Vay và nợ ngắn hạn (*),1. Vay và nợ ngắn hạn (*),1. Vay và nợ ngắn hạn (*),311,1.131.686.128.041,(1.131.686.128.041),-,311.0,1131686128041.0,-1131686128041.0,
7. Vay ngắn hạn,7. Vay ngắn hạn,7. Vay ngắn hạn,320,-,1.131.686.128.041,1.131.686.128.041,320.0,,1131686128041.0,1131686128041.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,137.129.000.000,-,137.129.000.000,330.0,137129000000.0,,137129000000.0
1. Vay và nợ dài hạn (*),1. Vay và nợ dài hạn (*),1. Vay và nợ dài hạn (*),337,137.129.000.000,(137.129.000.000),-,337.0,137129000000.0,-137129000000.0,
2. Vay dài hạn,2. Vay dài hạn,2. Vay dài hạn,338,-,137.129.000.000,137.129.000.000,338.0,,137129000000.0,137129000000.0
D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,400,232.805.050.783,-,232.805.050.783,400.0,232805050783.0,,232805050783.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,232.805.050.783,-,232.805.050.783,410.0,232805050783.0,,232805050783.0
3. Quỹ dự phòng tài chính (*),3. Quỹ dự phòng tài chính (*),3. Quỹ dự phòng tài chính (*),415,66.734.153.783,(66.734.153.783),-,415.0,66734153783.0,-66734153783.0,
4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,418,166.070.897.000,66.734.153.783,232.805.050.783,418.0,166070897000.0,66734153783.0,232805050783.0
