row_label_raw,row_label_full,TÀI SẢN,Mã số,Số đã báo cáo tại 31/12/2014 > VND,Phân loại lại theo Thông tư 200 > VND,Số sau phân loại lại tại 31/12/2014 > VND,numeric__Mã số,numeric__Số đã báo cáo tại 31/12/2014 > VND,numeric__Phân loại lại theo Thông tư 200 > VND,numeric__Số sau phân loại lại tại 31/12/2014 > VND
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,1.692.036.746.981,(13.014.032.750),1.679.022.714.231,100.0,1692036746981.0,-13014032750.0,1679022714231.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,234.599.264.879,(234.599.264.879),-,110.0,234599264879.0,-234599264879.0,
2. Các khoản tương đương tiền (*),2. Các khoản tương đương tiền (*),2. Các khoản tương đương tiền (*),112,234.599.264.879,(234.599.264.879),-,112.0,234599264879.0,-234599264879.0,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,22.781.778.617,644.633.055,23.426.411.672,130.0,22781778617.0,644633055.0,23426411672.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,22.781.778.617,(256.815.230),22.524.963.387,136.0,22781778617.0,-256815230.0,22524963387.0
5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,139,-,901.448.285,901.448.285,139.0,,901448285.0,901448285.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,1.420.997.037.680,234.599.264.879,1.655.596.302.559,140.0,1420997037680.0,234599264879.0,1655596302559.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,1.420.997.037.680,234.599.264.879,1.655.596.302.559,141.0,1420997037680.0,234599264879.0,1655596302559.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,13.658.665.805,(13.658.665.805),-,150.0,13658665805.0,-13658665805.0,
4. Tài sản ngắn hạn khác (*),4. Tài sản ngắn hạn khác (*),4. Tài sản ngắn hạn khác (*),155,13.658.665.805,(13.658.665.805),-,155.0,13658665805.0,-13658665805.0,
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,-,13.014.032.750,13.014.032.750,200.0,,13014032750.0,13014032750.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,-,13.014.032.750,13.014.032.750,210.0,,13014032750.0,13014032750.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,-,13.014.032.750,13.014.032.750,216.0,,13014032750.0,13014032750.0
