row_label_raw,row_label_full,31/12/2015,Duôi 1 nămVND,Từ 1 - 5 nămVND,Tổng cộngVND,numeric__Duôi 1 nămVND,numeric__Từ 1 - 5 nămVND,numeric__Tổng cộngVND
Tiền,Tiền,Tiền,34.348.296.246,-,34.348.296.246,34348296246.0,,34348296246.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,43.122.884.169,20.841.475.040,63.964.359.209,43122884169.0,20841475040.0,63964359209.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,65.000.000,-,65.000.000,65000000.0,,65000000.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,54.218.085.537,54.218.085.537,,54218085537.0,54218085537.0
,,,77.536.180.415,75.059.560.577,152.595.740.992,77536180415.0,75059560577.0,152595740992.0
Các khoản vay,Các khoản vay,Các khoản vay,1.195.260.458.896,72.388.000.000,1.267.648.458.896,1195260458896.0,72388000000.0,1267648458896.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,220.222.167.443,455.382.100,220.677.549.543,220222167443.0,455382100.0,220677549543.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,4.909.222.768,-,4.909.222.768,4909222768.0,,4909222768.0
,,,1.420.391.849.107,72.843.382.100,1.493.235.231.207,1420391849107.0,72843382100.0,1493235231207.0
Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(1.342.855.668.692),2.216.178.477,(1.340.639.490.215),-1342855668692.0,2216178477.0,-1340639490215.0
31/12/2014,31/12/2014,31/12/2014,Duôi 1 nămVND,Từ 1 - 5 nămVND,Tổng cộngVND,,,
Tiền,31/12/2014 > Tiền,Tiền,35.139.719.411,-,35.139.719.411,35139719411.0,,35139719411.0
Phải thu khách hàng và phải thu khác,31/12/2014 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,59.197.176.996,13.014.032.750,72.211.209.746,59197176996.0,13014032750.0,72211209746.0
Đầu tư tài chính ngắn hạn,31/12/2014 > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,65.000.000,-,65.000.000,65000000.0,,65000000.0
Đầu tư tài chính dài hạn,31/12/2014 > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,531.735.510.537,531.735.510.537,,531735510537.0,531735510537.0
,,,94.401.896.407,544.749.543.287,639.151.439.694,94401896407.0,544749543287.0,639151439694.0
Các khoản vay,31/12/2014 > Các khoản vay,Các khoản vay,1.131.686.128.041,137.129.000.000,1.268.815.128.041,1131686128041.0,137129000000.0,1268815128041.0
Phải trả người bán và phải trả khác,31/12/2014 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,177.648.876.151,455.382.100,178.104.258.251,177648876151.0,455382100.0,178104258251.0
Chi phí phải trả,31/12/2014 > Chi phí phải trả,Chi phí phải trả,4.188.467.510,-,4.188.467.510,4188467510.0,,4188467510.0
,,,1.313.523.471.702,137.584.382.100,1.451.107.853.802,1313523471702.0,137584382100.0,1451107853802.0
Chênh lệch thanh khoản thuần,31/12/2014 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(1.219.121.575.295),407.165.161.187,(811.956.414.108),-1219121575295.0,407165161187.0,-811956414108.0
