row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Tại ngày 01/01/2014,Tại ngày 01/01/2014,Tại ngày 01/01/2014,755.970.350.000,105.021.650.000,(7.090.000),183.705.050.783,229.426.913.602,1.274.116.874.385,755970350000.0,105021650000.0,-7090000.0,183705050783.0,229426913602.0,1274116874385.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,256.701.330.299,256.701.330.299,,,,,256701330299.0,256701330299.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(151.192.652.000),(151.192.652.000),,,,,-151192652000.0,-151192652000.0
Tạm ứng cổ tức đợt 1 năm 2014,Tạm ứng cổ tức đợt 1 năm 2014,Tạm ứng cổ tức đợt 1 năm 2014,-,-,-,-,(90.714.882.200),(90.714.882.200),,,,,-90714882200.0,-90714882200.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,49.100.000.000,(49.100.000.000),-,,,,49100000000.0,-49100000000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(22.200.000.000),(22.200.000.000),,,,,-22200000000.0,-22200000000.0
Tại ngày 31/12/2014,Tại ngày 31/12/2014,Tại ngày 31/12/2014,755.970.350.000,105.021.650.000,(7.090.000),232.805.050.783,172.920.709.701,1.266.710.670.484,755970350000.0,105021650000.0,-7090000.0,232805050783.0,172920709701.0,1266710670484.0
Tăng vốn điều lệ,Tăng vốn điều lệ,Tăng vốn điều lệ,226.775.420.000,(105.021.650.000),-,(46.157.440.000),(75.596.330.000),-,226775420000.0,-105021650000.0,,-46157440000.0,-75596330000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,159.618.661.348,159.618.661.348,,,,,159618661348.0,159618661348.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(22.678.897.800),(22.678.897.800),,,,,-22678897800.0,-22678897800.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,33.000.000.000,(33.000.000.000),-,,,,33000000000.0,-33000000000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(25.587.181.000),(25.587.181.000),,,,,-25587181000.0,-25587181000.0
Trích quỹ khác,Trích quỹ khác,Trích quỹ khác,-,-,-,-,(5.000.000.000),(5.000.000.000),,,,,-5000000000.0,-5000000000.0
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,982.745.770.000,-,(7.090.000),219.647.610.783,170.676.962.249,1.373.063.253.032,982745770000.0,,-7090000.0,219647610783.0,170676962249.0,1373063253032.0
