row_label_raw,row_label_full,col_0,31/12/2014 > VNDGiá trị,31/12/2014 > VNDSố có khả năngtrà nợ,Trong năm > VNDTăng,Trong năm > VNDGiảm,31/12/2015 > VNDGiá trị,31/12/2015 > VNDSố có khả năngtrà nợ,numeric__31/12/2014 > VNDGiá trị,numeric__31/12/2014 > VNDSố có khả năngtrà nợ,numeric__Trong năm > VNDTăng,numeric__Trong năm > VNDGiảm,numeric__31/12/2015 > VNDGiá trị,numeric__31/12/2015 > VNDSố có khả năngtrà nợ
Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,208.300.000.000,208.300.000.000,210.000.000.000,(418.300.000.000),-,-,208300000000.0,208300000000.0,210000000000.0,-418300000000.0,,
Ngân hàng Thương mại Cổ phầnCông thương Việt Nam,Ngân hàng Thương mại Cổ phầnCông thương Việt Nam,Ngân hàng Thương mại Cổ phầnCông thương Việt Nam,138.453.326.647,138.453.326.647,392.160.577.691,(499.613.904.338),31.000.000.000,31.000.000.000,138453326647.0,138453326647.0,392160577691.0,-499613904338.0,31000000000.0,31000000000.0
Ngân hàng Thương mại Cổ phầnNgoại thương Việt Nam,Ngân hàng Thương mại Cổ phầnNgoại thương Việt Nam,Ngân hàng Thương mại Cổ phầnNgoại thương Việt Nam,122.893.085.681,122.893.085.681,745.451.352.007,(588.396.789.833),279.947.647.855,279.947.647.855,122893085681.0,122893085681.0,745451352007.0,-588396789833.0,279947647855.0,279947647855.0
Ngân hàng Thương mại Cổ phầnĐồng Nam Á,Ngân hàng Thương mại Cổ phầnĐồng Nam Á,Ngân hàng Thương mại Cổ phầnĐồng Nam Á,90.000.000.000,90.000.000.000,450.000.000.000,(440.000.000.000),100.000.000.000,100.000.000.000,90000000000.0,90000000000.0,450000000000.0,-440000000000.0,100000000000.0,100000000000.0
Ngân hàng Thương mại Cổ phầnXăng Dầu Petrolímex,Ngân hàng Thương mại Cổ phầnXăng Dầu Petrolímex,Ngân hàng Thương mại Cổ phầnXăng Dầu Petrolímex,70.000.000.000,70.000.000.000,400.000.000.000,(470.000.000.000),-,-,70000000000.0,70000000000.0,400000000000.0,-470000000000.0,,
Ngân hàng TNHH CTBCChi nhánh Hồ Chí Minh,Ngân hàng TNHH CTBCChi nhánh Hồ Chí Minh,Ngân hàng TNHH CTBCChi nhánh Hồ Chí Minh,63.000.000.000,63.000.000.000,197.669.000.000,(195.000.000.000),65.669.000.000,65.669.000.000,63000000000.0,63000000000.0,197669000000.0,-195000000000.0,65669000000.0,65669000000.0
Ngân hàng TNHH MTV ShinhanViệt Nam,Ngân hàng TNHH MTV ShinhanViệt Nam,Ngân hàng TNHH MTV ShinhanViệt Nam,60.000.000.000,60.000.000.000,240.000.000.000,(240.000.000.000),60.000.000.000,60.000.000.000,60000000000.0,60000000000.0,240000000000.0,-240000000000.0,60000000000.0,60000000000.0
Ngân hàng Thương mại Cổ phầnQuán đội,Ngân hàng Thương mại Cổ phầnQuán đội,Ngân hàng Thương mại Cổ phầnQuán đội,20.393.013.713,20.393.013.713,326.569.133.751,(286.694.637.938),60.267.509.526,60.267.509.526,20393013713.0,20393013713.0,326569133751.0,-286694637938.0,60267509526.0,60267509526.0
Ngân hàng Thương mại Cổ phần Phát triếnthành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triếnthành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triếnthành phố Hồ Chí Minh,15.900.000.000,15.900.000.000,341.460.000.000,(357.360.000.000),-,-,15900000000.0,15900000000.0,341460000000.0,-357360000000.0,,
Ngân hàng Việt Nam Thịnh vương,Ngân hàng Việt Nam Thịnh vương,Ngân hàng Việt Nam Thịnh vương,15.385.000.000,15.385.000.000,80.000.000.000,(95.385.000.000),-,-,15385000000.0,15385000000.0,80000000000.0,-95385000000.0,,
