row_label_raw,row_label_full,col_0,"Nhải xưởng,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvân phóngVND,TổngVND,"numeric__Nhải xưởng,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvân phóngVND,numeric__TổngVND
NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,,,,,
Tại ngày 01/01/2015,NGUYÊN GIẢ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,120.558.292.982,116.606.709.230,11.093.892.423,15.670.207.716,263.929.102.351,120558292982.0,116606709230.0,11093892423.0,15670207716.0,263929102351.0
Tăng trong năm,NGUYÊN GIẢ > Tăng trong năm,Tăng trong năm,4.888.027.522,34.843.593.288,4.543.371.000,16.777.867.575,61.052.859.385,4888027522.0,34843593288.0,4543371000.0,16777867575.0,61052859385.0
Thanh lý,NGUYÊN GIẢ > Thanh lý,Thanh lý,-,-,(544.933.636),(704.949.195),(1.249.882.831),,,-544933636.0,-704949195.0,-1249882831.0
Tại ngày 31/12/2015,NGUYÊN GIẢ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,125.446.320.504,151.450.302.518,15.092.329.787,31.743.126.096,323.732.078.905,125446320504.0,151450302518.0,15092329787.0,31743126096.0,323732078905.0
GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,,,,,
Tại ngày 01/01/2015,GIẢ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,16.298.558.314,69.212.941.423,6.375.012.790,11.831.057.376,103.717.569.903,16298558314.0,69212941423.0,6375012790.0,11831057376.0,103717569903.0
Khẩu hao trong năm,GIẢ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,5.306.503.177,15.312.500.097,1.023.736.044,7.039.728.848,28.682.468.166,5306503177.0,15312500097.0,1023736044.0,7039728848.0,28682468166.0
Thanh lý,GIẢ TRỊ HAO MÔN LỦY KẾ > Thanh lý,Thanh lý,-,-,(544.933.636),(704.949.195),(1.249.882.831),,,-544933636.0,-704949195.0,-1249882831.0
Tại ngày 31/12/2015,GIẢ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,21.605.061.491,84.525.441.520,6.853.815.198,18.165.837.029,131.150.155.238,21605061491.0,84525441520.0,6853815198.0,18165837029.0,131150155238.0
GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,,,,,
Tại ngày 31/12/2015,GIẢ TRỊ CÔN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,103.841.259.013,66.924.860.998,8.238.514.589,13.577.289.067,192.581.923.667,103841259013.0,66924860998.0,8238514589.0,13577289067.0,192581923667.0
Tại ngày 31/12/2014,GIẢ TRỊ CÔN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,104.259.734.668,47.393.767.807,4.718.879.633,3.839.150.340,160.211.532.448,104259734668.0,47393767807.0,4718879633.0,3839150340.0,160211532448.0
