row_label_raw,row_label_full,col_0,31/12/2015VNDGiá gốc,31/12/2014VNDGiá gốc,numeric__31/12/2015VNDGiá gốc,numeric__31/12/2014VNDGiá gốc
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,9.502.592.792,608.973.823,9502592792.0,608973823.0
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",91.664.955.905,100.733.744.306,91664955905.0,100733744306.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",20.578.565.163,19.832.568.407,20578565163.0,19832568407.0
"Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang",131.664.308.110,147.200.324.226,131664308110.0,147200324226.0
Thành phẩm,Thành phẩm,Thành phẩm,134.240.935.308,129.280.128.300,134240935308.0,129280128300.0
Hàng hoá,Hàng hoá,Hàng hoá,1.689.170.023.391,1.219.465.105.121,1689170023391.0,1219465105121.0
Hàng gửi bán,Hàng gửi bán,Hàng gửi bán,39.821.332.791,38.475.458.376,39821332791.0,38475458376.0
,,,2.116.642.713.460,1.655.596.302.559,2116642713460.0,1655596302559.0
