row_label_raw,row_label_full,Mục đích sử dụng vốn,Phương án sử dụng vốn,Vốn đã sử dụng đến 31/12/2017,Vốn chưa sử dụng,numeric__Phương án sử dụng vốn,numeric__Vốn đã sử dụng đến 31/12/2017,numeric__Vốn chưa sử dụng
"Dự án chăn nuôi, phát triển bỏ sữa và bỏ thịt","Dự án chăn nuôi, phát triển bỏ sữa và bỏ thịt","Dự án chăn nuôi, phát triển bỏ sữa và bỏ thịt",300.000.000.000,159.926.383.234,140.073.616.766,300000000000.0,159926383234.0,140073616766.0
Dự án thủy điện và nâng lượng,Dự án thủy điện và nâng lượng,Dự án thủy điện và nâng lượng,150.000.000.000,117.215.181.926,32.784.818.074,150000000000.0,117215181926.0,32784818074.0
Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,50.000.000.000,50.000.000.000,-,50000000000.0,50000000000.0,
Cộng,Cộng,Cộng,500.000.000.000,327.141.565.160,172.858.434.840,500000000000.0,327141565160.0,172858434840.0
