row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,28.659.191.270,317.684.000,28.976.875.270,28659191270.0,317684000.0,28976875270.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
"Thanh lý, nhượng bán","Tăng trong kỳ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",3.206.340.000,-,3.206.340.000,3206340000.0,,3206340000.0
Số cuối kỳ,Tăng trong kỳ > Số cuối kỳ,Số cuối kỳ,25.452.851.270,317.684.000,25.770.535.270,25452851270.0,317684000.0,25770535270.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,-,260.505.707,260.505.707,,260505707.0,260505707.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,-,14.529.864,14.529.864,,14529864.0,14529864.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,-,275.035.571,275.035.571,,275035571.0,275035571.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,28.659.191.270,57.178.293,28.716.369.563,28659191270.0,57178293.0,28716369563.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,25.452.851.270,42.648.429,25.495.499.699,25452851270.0,42648429.0,25495499699.0
