row_label_raw,row_label_full,31/12/2017,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,216.531.011.802,-,216.531.011.802,216531011802.0,,216531011802.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,101.091.642.227,-,101.091.642.227,101091642227.0,,101091642227.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,765.263.593.636,877.494.905.140,1.642.758.498.776,765263593636.0,877494905140.0,1642758498776.0
Phải trả khác,Phải trả khác,Phải trả khác,130.694.082.609,4.000.000.000,134.694.082.609,130694082609.0,4000000000.0,134694082609.0
Cộng,Cộng,Cộng,1.213.580.330.274,881.494.905.140,2.095.075.235.414,1213580330274.0,881494905140.0,2095075235414.0
01/01/2017,01/01/2017,01/01/2017,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2017 > Phải trả người bán,Phải trả người bán,212.883.470.674,-,212.883.470.674,212883470674.0,,212883470674.0
Chi phí phải trả,01/01/2017 > Chi phí phải trả,Chi phí phải trả,20.736.312.067,-,20.736.312.067,20736312067.0,,20736312067.0
Vay và nợ thuê tài chính,01/01/2017 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,724.984.418.372,819.557.289.391,1.544.541.707.763,724984418372.0,819557289391.0,1544541707763.0
Phải trả khác,01/01/2017 > Phải trả khác,Phải trả khác,99.645.562.541,7.746.335.250,107.391.897.791,99645562541.0,7746335250.0,107391897791.0
Cộng,01/01/2017 > Cộng,Cộng,1.058.249.763.654,827.303.624.641,1.885.553.388.295,1058249763654.0,827303624641.0,1885553388295.0
