row_label_raw,row_label_full,Bảng cân đối kế toán,Mã số,Số liệu tại ngày31/12/2016(Dã hồi tố)VND,Số liệu tại ngày31/12/2016VND,Chênh lệchVND,Ghi chú,numeric__Mã số,numeric__Số liệu tại ngày31/12/2016(Dã hồi tố)VND,numeric__Số liệu tại ngày31/12/2016VND,numeric__Chênh lệchVND,numeric__Ghi chú
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,(28.243.049.542),(24.168.274.022),(4.074.775.520),(1),254.0,-28243049542.0,-24168274022.0,-4074775520.0,-1.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,314,23.511.306.705,24.256.397.987,(745.091.282),(1),314.0,23511306705.0,24256397987.0,-745091282.0,-1.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,420,99.238.747.830,102.568.432.068,(3.329.684.238),(1),420.0,99238747830.0,102568432068.0,-3329684238.0,-1.0
- LNST CPP lũy kế đến cuối kỳ trước,- LNST CPP lũy kế đến cuối kỳ trước,- LNST CPP lũy kế đến cuối kỳ trước,421a,48.496.184.816,45.771.495.799,2.724.689.017,(1),,48496184816.0,45771495799.0,2724689017.0,-1.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,50.742.563.014,56.796.936.269,(6.054.373.255),(1),,50742563014.0,56796936269.0,-6054373255.0,-1.0
Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Mã số,Năm 2016(Dã hồi tố)VND,Năm 2016VND,Chênh lệchVND,Ghi chú,,,,,
Chi phí tài chính,Báo cáo kết quả kinh doanh > Chi phí tài chính,Chi phí tài chính,31,115.029.218.088,107.461.251.520,7.567.966.568,(2),31.0,115029218088.0,107461251520.0,7567966568.0,-2.0
Tổng lợi nhuận kế toán trước thuế,Báo cáo kết quả kinh doanh > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,66.050.577.498,73.618.544.066,(7.567.966.568),(2),50.0,66050577498.0,73618544066.0,-7567966568.0,-2.0
Chi phí thuế TNDN hiện hành,Báo cáo kết quả kinh doanh > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,15.308.014.484,16.821.607.797,(1.513.593.313),(2),51.0,15308014484.0,16821607797.0,-1513593313.0,-2.0
Lợi nhuận sau thuế TNDN,Báo cáo kết quả kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,60,50.742.563.014,56.796.936.269,(6.054.373.255),(2),60.0,50742563014.0,56796936269.0,-6054373255.0,-2.0
