row_label_raw,row_label_full,31/12/2017,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,319.083.897.459,-,319.083.897.459,319083897459.0,,319083897459.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,15.039.106.073,-,15.039.106.073,15039106073.0,,15039106073.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,346.228.999.867,-,346.228.999.867,346228999867.0,,346228999867.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,779.283.735.650,666.529.200.000,1.445.812.935.650,779283735650.0,666529200000.0,1445812935650.0
Phải thu khác,Phải thu khác,Phải thu khác,93.468.000.818,1.236.773.664,94.704.774.482,93468000818.0,1236773664.0,94704774482.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,2.220.000.000,2.220.000.000,,2220000000.0,2220000000.0
Cộng,Cộng,Cộng,1.817.103.739.867,669.985.973.664,2.487.089.713.531,1817103739867.0,669985973664.0,2487089713531.0
01/01/2017,01/01/2017,01/01/2017,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2017 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,79.370.179.360,-,79.370.179.360,79370179360.0,,79370179360.0
Chứng khoán kinh doanh,01/01/2017 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Đầu tư nằm giữ đến ngày đáo hạn,01/01/2017 > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,316.094.590.556,-,316.094.590.556,316094590556.0,,316094590556.0
Phải thu khách hàng,01/01/2017 > Phải thu khách hàng,Phải thu khách hàng,347.701.143.702,-,347.701.143.702,347701143702.0,,347701143702.0
Phải thu về cho vay,01/01/2017 > Phải thu về cho vay,Phải thu về cho vay,791.219.548.523,225.647.099.300,1.016.866.647.823,791219548523.0,225647099300.0,1016866647823.0
Phải thu khác,01/01/2017 > Phải thu khác,Phải thu khác,112.473.048.912,22.739.205.273,135.212.254.185,112473048912.0,22739205273.0,135212254185.0
Đầu tư góp vốn vào đơn vị khác,01/01/2017 > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,22.596.728.474,22.596.728.474,,22596728474.0,22596728474.0
Cộng,01/01/2017 > Cộng,Cộng,1.910.858.511.053,270.983.033.047,2.181.841.544.100,1910858511053.0,270983033047.0,2181841544100.0
