row_label_raw,row_label_full,col_0,31/12/2017 > Giá gốc trái phiếu,31/12/2017 > Tổng chi phí phát hành,31/12/2017 > Chi phí phát hành phân bổ lũy kế,31/12/2017 > Giá trị trái phiếu cuối kỳ,31/12/2017 > Lãi suất,numeric__31/12/2017 > Giá gốc trái phiếu,numeric__31/12/2017 > Tổng chi phí phát hành,numeric__31/12/2017 > Chi phí phát hành phân bổ lũy kế,numeric__31/12/2017 > Giá trị trái phiếu cuối kỳ,numeric__31/12/2017 > Lãi suất
Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,,,,,
- Trái phiếu kỳ hạn 5 năm,Loại phát hành theo mệnh giá > - Trái phiếu kỳ hạn 5 năm,- Trái phiếu kỳ hạn 5 năm,366.000.000.000,6.518.829.294,3.908.523.298,363.389.694.004,11% kỳ đầu và thả nổi từ kỳ thứ 2,366000000000.0,6518829294.0,3908523298.0,363389694004.0,
- Trái phiếu kỳ hạn 5 năm,Loại phát hành theo mệnh giá > - Trái phiếu kỳ hạn 5 năm,- Trái phiếu kỳ hạn 5 năm,134.000.000.000,2.211.000.000,2.456.667,131.791.456.667,10% kỳ đầu và thả nổi từ kỳ thứ 2,134000000000.0,2211000000.0,2456667.0,131791456667.0,
- Trái phiếu kỳ hạn 3 năm,Loại phát hành theo mệnh giá > - Trái phiếu kỳ hạn 3 năm,- Trái phiếu kỳ hạn 3 năm,134.000.000.000,2.386.675.206,2.386.675.206,134.000.000.000,11% kỳ đầu và thả nổi từ kỳ thứ 2,134000000000.0,2386675206.0,2386675206.0,134000000000.0,
- Trái phiếu phải trả do không chuyên đối,Loại phát hành theo mệnh giá > - Trái phiếu phải trả do không chuyên đối,- Trái phiếu phải trả do không chuyên đối,374.500.000,-,-,374.500.000,13%/năm,374500000.0,,,374500000.0,
Cộng,Loại phát hành theo mệnh giá > Cộng,Cộng,634.374.500.000,11.116.504.500,6.297.655.171,629.555.650.671,,634374500000.0,11116504500.0,6297655171.0,629555650671.0,
,,,01/01/2017,01/01/2017,01/01/2017,01/01/2017,01/01/2017,,,,,
,,,Giá gốc trái phiếu,Tổng chi phí phát hành,Chi phí phát hành phân bổ,Giá trị trái phiếu cuối kỳ,Lãi suất,,,,,
Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,,,,,
- Trái phiếu kỳ hạn 5 năm,Loại phát hành theo mệnh giá > - Trái phiếu kỳ hạn 5 năm,- Trái phiếu kỳ hạn 5 năm,366.000.000.000,6.518.829.294,2.603.370.298,362.084.541.004,11% kỳ đầu và thả nổi từ kỳ thứ 2,366000000000.0,6518829294.0,2603370298.0,362084541004.0,
- Trái phiếu kỳ hạn 3 năm,Loại phát hành theo mệnh giá > - Trái phiếu kỳ hạn 3 năm,- Trái phiếu kỳ hạn 3 năm,134.000.000.000,2.386.675.206,1.589.423.938,133.202.748.732,11% kỳ đầu và thả nổi từ kỳ thứ 2,134000000000.0,2386675206.0,1589423938.0,133202748732.0,
- Trái phiếu phải trả do không chuyên đối,Loại phát hành theo mệnh giá > - Trái phiếu phải trả do không chuyên đối,- Trái phiếu phải trả do không chuyên đối,374.500.000,-,-,374.500.000,13%/năm,374500000.0,,,374500000.0,
Cộng,Loại phát hành theo mệnh giá > Cộng,Cộng,500.374.500.000,8.905.504.500,4.192.794.236,495.661.789.736,,500374500000.0,8905504500.0,4192794236.0,495661789736.0,
