row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Tài sản cố địnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Tài sản cố địnhkhác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dàn kỳ,Nguyên giá > Số dàn kỳ,Số dàn kỳ,55.558.905.563,11.025.554.390,15.106.033.484,354.858.200,-,82.045.351.637,55558905563.0,11025554390.0,15106033484.0,354858200.0,,82045351637.0
Mua sắm trong kỳ,Nguyên giá > Mua sắm trong kỳ,Mua sắm trong kỳ,-,147.000.000,-,185.000.000,1.942.805.303,2.274.805.303,,147000000.0,,185000000.0,1942805303.0,2274805303.0
D/tư XDCB h/thành,Nguyên giá > D/tư XDCB h/thành,D/tư XDCB h/thành,188.909.345.502,-,-,-,-,188.909.345.502,188909345502.0,,,,,188909345502.0
Chuyển từ BDS đầu tư sang,Nguyên giá > Chuyển từ BDS đầu tư sang,Chuyển từ BDS đầu tư sang,1.340.344.287,-,-,-,-,1.340.344.287,1340344287.0,,,,,1340344287.0
"T/lý, nhượng bán","Nguyên giá > T/lý, nhượng bán","T/lý, nhượng bán",7.599.856.286,-,510.367.000,-,-,8.110.223.286,7599856286.0,,510367000.0,,,8110223286.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,238.208.739.066,11.172.554.390,14.595.666.484,539.858.200,1.942.805.303,266.459.623.443,238208739066.0,11172554390.0,14595666484.0,539858200.0,1942805303.0,266459623443.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,,
Số dầu kỳ,Khấu hao > Số dầu kỳ,Số dầu kỳ,11.673.064.058,6.804.018.818,11.891.566.806,354.858.200,-,30.723.507.882,11673064058.0,6804018818.0,11891566806.0,354858200.0,,30723507882.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,5.983.028.633,708.199.165,667.466.527,33.474.239,195.928.405,7.588.096.969,5983028633.0,708199165.0,667466527.0,33474239.0,195928405.0,7588096969.0
Chuyển từ BDS dầu tư sang,Khấu hao > Chuyển từ BDS dầu tư sang,Chuyển từ BDS dầu tư sang,585.283.658,-,-,-,-,585.283.658,585283658.0,,,,,585283658.0
"T/lý, nhượng bán","Khấu hao > T/lý, nhượng bán","T/lý, nhượng bán",3.256.301.942,-,510.367.000,-,-,3.766.668.942,3256301942.0,,510367000.0,,,3766668942.0
Số cuối kỳ,Khấu hao > Số cuối kỳ,Số cuối kỳ,14.985.074.407,7.512.217.983,12.048.666.333,388.332.439,195.928.405,35.130.219.567,14985074407.0,7512217983.0,12048666333.0,388332439.0,195928405.0,35130219567.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dầu kỳ,Giá trị còn lại > Số dầu kỳ,Số dầu kỳ,43.885.841.505,4.221.535.572,3.214.466.678,-,-,51.321.843.755,43885841505.0,4221535572.0,3214466678.0,,,51321843755.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,223.223.664.659,3.660.336.407,2.547.000.151,151.525.761,1.746.876.898,231.329.403.876,223223664659.0,3660336407.0,2547000151.0,151525761.0,1746876898.0,231329403876.0
