row_label_raw,row_label_full,col_0,Bảng cân đối kế toàn hợp nhất,Bảng cân đối kế toàn hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toàn hợp nhất,numeric__Bảng cân đối kế toàn hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chi phí phải trả ngắn hạn,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,1.850.235.798,2.714.691.138,(864.455.340),794.030.965,1850235798.0,2714691138.0,-864455340.0,794030965.0
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,15.852.252.194,5.196.834.826,10.655.417.368,732.611.666,15852252194.0,5196834826.0,10655417368.0,732611666.0
Lỗ thuế ghi nhận thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại > Lỗ thuế ghi nhận thuế thu nhập hoãn lại,Lỗ thuế ghi nhận thuế thu nhập hoãn lại,35.143.439.043,-,35.143.439.043,(29.742.058.012),35143439043.0,,35143439043.0,-29742058012.0
,,,52.845.927.035,7.911.525.964,44.934.401.071,(28.215.415.381),52845927035.0,7911525964.0,44934401071.0,-28215415381.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chi phí lãi vay vốn hóa,Thuế thu nhập hoãn lại phải trả > Chi phí lãi vay vốn hóa,Chi phí lãi vay vốn hóa,(6.610.411.633),(6.344.552.871),(265.858.762),(2.452.213.816),-6610411633.0,-6344552871.0,-265858762.0,-2452213816.0
Dự phòng giảm giá của khoản đầu tư dài hạn,Thuế thu nhập hoãn lại phải trả > Dự phòng giảm giá của khoản đầu tư dài hạn,Dự phòng giảm giá của khoản đầu tư dài hạn,(1.803.637.391),(1.803.637.391),,-,-1803637391.0,-1803637391.0,,
,,,(8.414.049.024),(8.148.190.262),(265.858.762),(2.452.213.816),-8414049024.0,-8148190262.0,-265858762.0,-2452213816.0
Tài sản thuế TNDN hoãn lại (Thuế TNDN hoãn lại phải trả) thuần,Thuế thu nhập hoãn lại phải trả > Tài sản thuế TNDN hoãn lại (Thuế TNDN hoãn lại phải trả) thuần,Tài sản thuế TNDN hoãn lại (Thuế TNDN hoãn lại phải trả) thuần,44.431.878.011,(236.664.298),,,44431878011.0,-236664298.0,,
Thu nhập (chi phí) thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại phải trả > Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,44.668.542.309,(30.667.629.197),,,44668542309.0,-30667629197.0
