row_label_raw,row_label_full,"Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_1","Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_2","Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_3","Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_4","numeric__Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_1","numeric__Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_2","numeric__Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_3","numeric__Nhóm Công ty thực hiện các khoản vay dài hạn từ các ngân hàng để tài trợ các dự án, trang trại đang xây dựng và mua phương tiện vận tải. Chi tiết như sau:_4"
Tên ngân hàng,Tên ngân hàng,Tên ngân hàng,Số cuối nămVND,Ngày đáo hạn,Lãi suất(%/năm),"Hình thức đảm bảo(Thuyết minh số 12, 15 và 17)",,,,
Ngân hàng Thương mại Cổ phần Quản đội - Chi nhánh Đông Hồ Chí Minh,Tên ngân hàng > Ngân hàng Thương mại Cổ phần Quản đội - Chi nhánh Đông Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Quản đội - Chi nhánh Đông Hồ Chí Minh,256.950.669.705,Từ ngày 25 tháng 3 năm 2027 đến ngày 30 tháng 6 năm 2033,"7,30 –8,20","Vốn góp tại Sông Hinh; quyền tải sản phát sinh từ Hợp đồng thuê đất giữa Công ty TNHH Chăn nuôi Công nghệ cao Sông Hinh và Sở Tài nguyên và Môi trường tĩnh Đắk Lắk; Quyền sử dụng đất và các tài sản khác gắn liền với đất, máy móc thiết bị, phương tiện vận tải hình thành trong trường lai của Công ty TNHH Tây An Khánh tại xã Tân Hội, tỉnh Tây Ninh.",256950669705.0,,,
Ngân hàng TMCP Quân đội – Chi nhánh Vũng Tàu,Tên ngân hàng > Ngân hàng TMCP Quân đội – Chi nhánh Vũng Tàu,Ngân hàng TMCP Quân đội – Chi nhánh Vũng Tàu,213.591.817.699,Ngày 20 tháng 7 năm 2030,"7,80 –8,30","Vốn góp tại Đông An Khánh và vốn góp tại Nam An Khánh thuộc sở hữu của Công ty; Quyền sử dụng đất và các tài sản khác gắn liền với đất, máy móc thiết bị hình thành trong trường lai của Đông An Khánh tại Xã Tân Thành, Tĩnh Tây Ninh và Nam An Khánh tại Áp Hội Thành, Xã Tân Hội, Tĩnh Tây Ninh.",213591817699.0,,,
Ngân hàng TNHH Một Thành Viên Shinhan Việt Nam - Chi nhánh TPHCM,Tên ngân hàng > Ngân hàng TNHH Một Thành Viên Shinhan Việt Nam - Chi nhánh TPHCM,Ngân hàng TNHH Một Thành Viên Shinhan Việt Nam - Chi nhánh TPHCM,207.056.000.000,Ngày 28 tháng 4 năm 2032,"6,88","Quyền sử dụng đất và các tài sản khác gắn liền với đất, máy móc thiết bị, phương tiện vận tải hình thành trong trường lai của Dự án trại Giai Xuân tại xóm Nước Xanh, xã Giai Xuân, huyện Tân Kỳ, tỉnh Nghệ An",207056000000.0,,6.88,
Quỹ Đầu tư Phát triển Tây Ninh,Tên ngân hàng > Quỹ Đầu tư Phát triển Tây Ninh,Quỹ Đầu tư Phát triển Tây Ninh,155.371.826.589,Từ ngày 25 tháng 3 năm 2026 đến ngày 31 tháng 3 năm 2033,"5,80","Vốn góp tại Bắc An Khánh và vốn góp tại Tân Châu; Quyền sử dụng đất và các tài sản khác gắn liền với đất hình thành trong trường lai của Bắc An Khánh và Tân Châu tại Xã Tân Hòa, Tĩnh Tây Ninh và Thư bảo lãnh vay vốn do Ngân hàng TMCP Tiên Phong - Chi nhánh Thành phố Hồ Chí Minh phát hành.",155371826589.0,,5.8,
