row_label_raw,row_label_full,Giá trị trái phiếu chuyển đổi > Cơ cấu vốn chủ sở hữu (Thuyết minh số 24.1),Số cuối năm > 600.000.000.000 > (137.648.613.977),VND Số đầu năm > 600.000.000.000 > (137.648.613.977),numeric__Số cuối năm > 600.000.000.000 > (137.648.613.977),numeric__VND Số đầu năm > 600.000.000.000 > (137.648.613.977)
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,462.351.386.023,462.351.386.023,462351386023.0,462351386023.0
Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,53.713.440.628,32.574.668.820,53713440628.0,32574668820.0
Số đầu năm,Số đầu năm,Số đầu năm,32.574.668.820,13.572.019.890,32574668820.0,13572019890.0
Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,21.138.771.808,19.002.648.930,21138771808.0,19002648930.0
Số cuối năm,Số cuối năm,Số cuối năm,53.713.440.628,32.574.668.820,53713440628.0,32574668820.0
Trừ: Giá trị phân bổ chi phí phát hành trái phiếu,Trừ: Giá trị phân bổ chi phí phát hành trái phiếu,Trừ: Giá trị phân bổ chi phí phát hành trái phiếu,(15.953.790.800),(19.679.470.190),-15953790800.0,-19679470190.0
Số đầu năm,Số đầu năm,Số đầu năm,(19.679.470.190),(23.417.852.643),-19679470190.0,-23417852643.0
Số phân bổ giảm trong năm,Số phân bổ giảm trong năm,Số phân bổ giảm trong năm,3.725.679.390,3.738.382.453,3725679390.0,3738382453.0
Số cuối năm,Số cuối năm,Số cuối năm,(15.953.790.800),(19.679.470.190),-15953790800.0,-19679470190.0
Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,500.111.035.851,475.246.584.653,500111035851.0,475246584653.0
