row_label_raw,row_label_full,col_0,Bán nông sản,Bán heo,Bán cám,Khác,Loại trừ,VNDHợp nhất,numeric__Bán nông sản,numeric__Bán heo,numeric__Bán cám,numeric__Khác,numeric__Loại trừ,numeric__VNDHợp nhất
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,,
Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,,,,,,
Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần bộ phận > Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,2.301.658.870.470,5.307.346.880.841,2.119.632.465.339,80.068.977.931,(4.168.021.460.313),5.640.685.734.268,2301658870470.0,5307346880841.0,2119632465339.0,80068977931.0,-4168021460313.0,5640685734268.0
Doanh thu từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần bộ phận > Doanh thu từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu từ bán hàng và cung cấp dịch vụ cho các bộ phận,-,(1.979.412.603.920),(2.108.779.932.139),(79.828.924.254),4.168.021.460.313,-,,-1979412603920.0,-2108779932139.0,-79828924254.0,4168021460313.0,
Tổng doanh thu thuần,Doanh thu thuần bộ phận > Tổng doanh thu thuần,Tổng doanh thu thuần,2.301.658.870.470,3.327.934.276.921,10.852.533.200,240.053.677,-,5.640.685.734.268,2301658870470.0,3327934276921.0,10852533200.0,240053677.0,,5640685734268.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,
Lợi nhuận gộp,Kết quả > Lợi nhuận gộp,Lợi nhuận gộp,45.776.561.380,675.806.735.345,(5.180.667.975),(125.445.139),-,716.277.183.611,45776561380.0,675806735345.0,-5180667975.0,-125445139.0,,716277183611.0
Doanh thu hoạt động tài chính,Kết quả > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,22.223.669.006,,,,,,22223669006.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,,,(222.236.807.563),,,,,,-222236807563.0
Chi phí bán hàng,Kết quả > Chi phí bán hàng,Chi phí bán hàng,,,,,,(76.630.177.559),,,,,,-76630177559.0
Chi phí quản lý doanh nghiệp,Kết quả > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,(137.280.743.174),,,,,,-137280743174.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,,,110.219.000.409,,,,,,110219000409.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,,,,(6.323.112.507),,,,,,-6323112507.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,(56.645.068.978),,,,,,-56645068978.0
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,,(30.667.629.197),,,,,,-30667629197.0
Lợi nhuận sau thuế TNDN,Kết quả > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,318.936.314.048,,,,,,318936314048.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,188.713.231.186,11.833.424.987.087,1.103.277.892.059,-,(5.676.386.065.827),7.449.030.044.505,188713231186.0,11833424987087.0,1103277892059.0,,-5676386065827.0,7449030044505.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,188.713.231.186,11.833.424.987.087,1.103.277.892.059,-,(6.115.990.995.571),7.009.425.114.761,188713231186.0,11833424987087.0,1103277892059.0,,-6115990995571.0,7009425114761.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),-,-,-,-,439.604.929.744,439.604.929.744,,,,,439604929744.0,439604929744.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,1.771.091.171.271,6.024.380.392.818,520.437.122.564,-,(3.802.630.295.766),4.513.278.390.887,1771091171271.0,6024380392818.0,520437122564.0,,-3802630295766.0,4513278390887.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.771.091.171.271,6.024.380.392.818,520.437.122.564,-,(3.802.630.295.766),4.513.278.390.887,1771091171271.0,6024380392818.0,520437122564.0,,-3802630295766.0,4513278390887.0
