row_label_raw,row_label_full,Chỉ tiêu,Năm 2025(VND),Năm 2024(VND),Chênh lệch tăng (giảm) > Số tiền (VND),Chênh lệch tăng (giảm) > %,numeric__Năm 2025(VND),numeric__Năm 2024(VND),numeric__Chênh lệch tăng (giảm) > Số tiền (VND),numeric__Chênh lệch tăng (giảm) > %
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,99.838.409.483,406.249.012.223,(306.410.602.740),-75%,99838409483.0,406249012223.0,-306410602740.0,-0.75
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,127.130.389.938,318.936.314.048,(191.805.924.110),-60%,127130389938.0,318936314048.0,-191805924110.0,-0.6
