row_label_raw,row_label_full,col_0,Bán heo,Bán cám,Khác,Loại trừ,VNDHợp nhất,numeric__Bán heo,numeric__Bán cám,numeric__Khác,numeric__Loại trừ,numeric__VNDHợp nhất
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,,,,,
Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,,,,,
Doanh thu từ bán hàngvà cung cấp dịch vụ rabên ngoài,Doanh thu thuần bộ phận > Doanh thu từ bán hàngvà cung cấp dịch vụ rabên ngoài,Doanh thu từ bán hàngvà cung cấp dịch vụ rabên ngoài,8.144.547.818.310,3.067.475.371.507,172.523.268.352,(6.346.695.178.865),5.037.851.279.304,8144547818310.0,3067475371507.0,172523268352.0,-6346695178865.0,5037851279304.0
Doanh thu từ bán hàngvà cung cấp dịch vụ chocác bộ phận,Doanh thu thuần bộ phận > Doanh thu từ bán hàngvà cung cấp dịch vụ chocác bộ phận,Doanh thu từ bán hàngvà cung cấp dịch vụ chocác bộ phận,(3.117.036.468.946),(3.057.661.885.210),(171.996.824.709),6.346.695.178.865,-,-3117036468946.0,-3057661885210.0,-171996824709.0,6346695178865.0,
Tổng doanh thu thuần,Doanh thu thuần bộ phận > Tổng doanh thu thuần,Tổng doanh thu thuần,5.027.511.349.364,9.813.486.297,526.443.643,-,5.037.851.279.304,5027511349364.0,9813486297.0,526443643.0,,5037851279304.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận gộp,Kết quả > Lợi nhuận gộp,Lợi nhuận gộp,691.810.850.620,(10.396.383.596),437.052.857,-,681.851.519.881,691810850620.0,-10396383596.0,437052857.0,,681851519881.0
Doanh thu hoạt động tài chính,Kết quả > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,21.554.122.723,,,,,21554122723.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,,(290.569.836.219),,,,,-290569836219.0
Chi phí bán hàng,Kết quả > Chi phí bán hàng,Chi phí bán hàng,,,,,(85.114.023.835),,,,,-85114023835.0
Chi phí quản lý doanh nghiệp,Kết quả > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,(241.046.166.245),,,,,-241046166245.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,,15.427.879.665,,,,,15427879665.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,,,(2.265.086.487),,,,,-2265086487.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,(17.376.561.854),,,,,-17376561854.0
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,44.668.542.309,,,,,44668542309.0
Lợi nhuận sau thuế TNDN,Kết quả > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,127.130.389.938,,,,,127130389938.0
Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,,,,,
Tổng tài sản,Tải sản và nợ phải trả > Tổng tài sản,Tổng tài sản,18.569.698.514.348,1.424.702.434.411,126.863.154.332,(9.341.235.307.791),10.780.028.795.300,18569698514348.0,1424702434411.0,126863154332.0,-9341235307791.0,10780028795300.0
Tải sản bộ phận,Tải sản và nợ phải trả > Tải sản bộ phận,Tải sản bộ phận,18.569.698.514.348,1.424.702.434.411,126.863.154.332,(10.184.575.139.961),9.936.688.963.130,18569698514348.0,1424702434411.0,126863154332.0,-10184575139961.0,9936688963130.0
Tải sản không phân bổ (*),Tải sản và nợ phải trả > Tải sản không phân bổ (*),Tải sản không phân bổ (*),-,-,-,843.339.832.170,843.339.832.170,,,,843339832170.0,843339832170.0
Tổng nợ phải trả,Tải sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,11.993.053.316.849,746.922.570.964,-,(6.024.068.533.082),6.715.907.354.731,11993053316849.0,746922570964.0,,-6024068533082.0,6715907354731.0
Nợ phải trả bộ phận,Tải sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,11.993.053.316.849,746.922.570.964,-,(6.024.068.533.082),6.715.907.354.731,11993053316849.0,746922570964.0,,-6024068533082.0,6715907354731.0
