row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,1.435.200.000.000,-,137.648.613.977,324.866.540.588,1.897.715.154.565,1435200000000.0,,137648613977.0,324866540588.0,1897715154565.0
Phát hành cổ phiếu cho cổ đông hiện hữu,Năm trước: > Phát hành cổ phiếu cho cổ đông hiện hữu,Phát hành cổ phiếu cho cổ đông hiện hữu,684.256.000.000,-,-,-,684.256.000.000,684256000000.0,,,,684256000000.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,317.047.520.186,317.047.520.186,,,,317047520186.0,317047520186.0
"Phát hành cổ phiếu cho cán bộ nhân viên trong Công ty (""ESOP"")","Năm trước: > Phát hành cổ phiếu cho cán bộ nhân viên trong Công ty (""ESOP"")","Phát hành cổ phiếu cho cán bộ nhân viên trong Công ty (""ESOP"")",26.780.000.000,-,-,-,26.780.000.000,26780000000.0,,,,26780000000.0
Cổ tức công bố,Năm trước: > Cổ tức công bố,Cổ tức công bố,243.980.420.000,-,-,(243.980.420.000),-,243980420000.0,,,-243980420000.0,
Thay đổi tỷ lệ sở hữu trong công ty con,Năm trước: > Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,-,-,-,324.848.563,324.848.563,,,,324848563.0,324848563.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,2.390.216.420.000,-,137.648.613.977,398.258.489.337,2.926.123.523.314,2390216420000.0,,137648613977.0,398258489337.0,2926123523314.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,2.390.216.420.000,-,137.648.613.977,398.258.489.337,2.926.123.523.314,2390216420000.0,,137648613977.0,398258489337.0,2926123523314.0
Phát hành cổ phiếu (i),Năm nay: > Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),650.000.000.000,356.620.000.000,-,-,1.006.620.000.000,650000000000.0,356620000000.0,,,1006620000000.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,126.621.177.023,126.621.177.023,,,,126621177023.0,126621177023.0
Thay đổi tỷ lệ sở hữu trong công ty con,Năm nay: > Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,-,-,-,299.369.033,299.369.033,,,,299369033.0,299369033.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,3.040.216.420.000,356.620.000.000,137.648.613.977,525.179.035.393,4.059.664.069.370,3040216420000.0,356620000000.0,137648613977.0,525179035393.0,4059664069370.0
