row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,Tiền thu từ phát hành cổ phiếu,24.1,1.006.620.000.000,711.036.000.000,,241.0,1006620000000.0,711036000000.0
33,33,33,Tiền thu từ đi vay,"21, 23",3.644.852.328.504,2.094.667.207.221,,,3644852328504.0,2094667207221.0
34,34,34,Tiền chi trả nợ gốc vay,23,(1.579.242.085.284),(1.879.603.287.627),,23.0,-1579242085284.0,-1879603287627.0
35,35,35,Tiền chi trả nợ gốc thuê tài chính,23,(12.344.577.681),(2.317.066.160),,23.0,-12344577681.0,-2317066160.0
36,36,36,Cổ tức đã trả cho cổ đông không kiểm soát,,-,(4.320.000.000),,,,-4320000000.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,3.059.885.665.539,919.462.853.434,,,3059885665539.0,919462853434.0
50,50,50,Lưu chuyển tiền và tương đương tiền thuần trong năm,,216.109.277.889,53.712.166.905,,,216109277889.0,53712166905.0
60,60,60,Tiền và tương đương tiền đầu năm,,148.911.935.224,95.165.075.409,,,148911935224.0,95165075409.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,-,34.692.910,,,,34692910.0
70,70,70,Tiền và tương đương tiền cuối năm,5,365.021.213.113,148.911.935.224,,5.0,365021213113.0,148911935224.0
