row_label_raw,row_label_full,col_0,Giá trị hợp đồng,Giá trị cam kết,numeric__Giá trị hợp đồng,numeric__Giá trị cam kết
Công ty Cổ phần Sản xuất Rừng Xanh,Công ty Cổ phần Sản xuất Rừng Xanh,Công ty Cổ phần Sản xuất Rừng Xanh,179.840.000.000,159.840.000.000,179840000000.0,159840000000.0
Công ty TNHH Chăn nuôi Nhất Quyết,Công ty TNHH Chăn nuôi Nhất Quyết,Công ty TNHH Chăn nuôi Nhất Quyết,150.000.000.000,120.000.000.000,150000000000.0,120000000000.0
Công ty TNHH Chăn nuôi Minh Phát,Công ty TNHH Chăn nuôi Minh Phát,Công ty TNHH Chăn nuôi Minh Phát,145.000.000.000,115.000.000.000,145000000000.0,115000000000.0
Công ty TNHH Chăn nuôi Công nghệ caoKhuyên Nam Tiến,Công ty TNHH Chăn nuôi Công nghệ caoKhuyên Nam Tiến,Công ty TNHH Chăn nuôi Công nghệ caoKhuyên Nam Tiến,50.000.000.000,37.500.000.000,50000000000.0,37500000000.0
Công ty Cổ phần Hoàng Kim QT,Công ty Cổ phần Hoàng Kim QT,Công ty Cổ phần Hoàng Kim QT,35.000.000.000,29.382.002.750,35000000000.0,29382002750.0
Công ty Cổ phần Việt Thái HT,Công ty Cổ phần Việt Thái HT,Công ty Cổ phần Việt Thái HT,35.000.000.000,28.971.021.500,35000000000.0,28971021500.0
Công ty Cổ phần Toàn Thắng HT,Công ty Cổ phần Toàn Thắng HT,Công ty Cổ phần Toàn Thắng HT,35.000.000.000,29.623.451.000,35000000000.0,29623451000.0
Công ty Cổ phần Thành Sen HT - QT,Công ty Cổ phần Thành Sen HT - QT,Công ty Cổ phần Thành Sen HT - QT,35.000.000.000,28.962.896.750,35000000000.0,28962896750.0
Công ty Cổ phần Hoàng Kim HT - QT,Công ty Cổ phần Hoàng Kim HT - QT,Công ty Cổ phần Hoàng Kim HT - QT,35.000.000.000,28.963.707.500,35000000000.0,28963707500.0
Công ty TNHH Chăn nuôi Khôi Dương,Công ty TNHH Chăn nuôi Khôi Dương,Công ty TNHH Chăn nuôi Khôi Dương,30.000.000.000,13.000.000.000,30000000000.0,13000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,729.840.000.000,591.243.079.500,729840000000.0,591243079500.0
