row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Gia súc,Tổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Gia súc,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.084.102.076.238,597.609.566.610,65.485.686.945,29.337.853.312,22.851.217.137,2.799.386.400.242,2084102076238.0,597609566610.0,65485686945.0,29337853312.0,22851217137.0,2799386400242.0
Đầu tư xây dựng cơ bảnhoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,714.367.523.927,148.412.212.187,5.158.249.044,2.611.770.392,58.282.363.146,928.832.118.696,714367523927.0,148412212187.0,5158249044.0,2611770392.0,58282363146.0,928832118696.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,52.129.368.894,170.561.373.156,22.824.759.640,23.143.246.879,10.190.055.846,278.848.804.415,52129368894.0,170561373156.0,22824759640.0,23143246879.0,10190055846.0,278848804415.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(318.391.000),(7.564.977.830),-,(1.201.474.660),(19.708.065.251),(28.792.908.741),-318391000.0,-7564977830.0,,-1201474660.0,-19708065251.0,-28792908741.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.850.280.578.059,909.018.174.123,93.468.695.629,53.891.395.923,71.615.570.878,3.978.274.414.612,2850280578059.0,909018174123.0,93468695629.0,53891395923.0,71615570878.0,3978274414612.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,4.473.289.191,8.684.171.980,120.717.000,584.802.714,309.350.578,14.172.331.463,4473289191.0,8684171980.0,120717000.0,584802714.0,309350578.0,14172331463.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(306.213.022.327),(90.464.416.688),(22.673.607.949),(5.825.192.786),(4.118.665.055),(429.294.904.805),-306213022327.0,-90464416688.0,-22673607949.0,-5825192786.0,-4118665055.0,-429294904805.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(153.133.263.738),(66.210.704.798),(7.227.901.628),(5.326.021.661),(11.234.092.599),(243.131.984.424),-153133263738.0,-66210704798.0,-7227901628.0,-5326021661.0,-11234092599.0,-243131984424.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,124.615,229.399.557,-,595.815.261,4.845.849.497,5.671.188.930,124615.0,229399557.0,,595815261.0,4845849497.0,5671188930.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(459.346.161.450),(156.445.721.929),(29.901.509.577),(10.555.399.186),(10.506.908.157),(666.755.700.299),-459346161450.0,-156445721929.0,-29901509577.0,-10555399186.0,-10506908157.0,-666755700299.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.777.889.053.911,507.145.149.922,42.812.078.996,23.512.660.526,18.732.552.082,2.370.091.495.437,1777889053911.0,507145149922.0,42812078996.0,23512660526.0,18732552082.0,2370091495437.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.390.934.416.609,752.572.452.194,63.567.186.052,43.335.996.737,61.108.662.721,3.311.518.714.313,2390934416609.0,752572452194.0,63567186052.0,43335996737.0,61108662721.0,3311518714313.0
Trong đóTài sản thể chấp(Thuyết minh số 23),Giá trị còn lại: > Trong đóTài sản thể chấp(Thuyết minh số 23),Trong đóTài sản thể chấp(Thuyết minh số 23),1.936.092.691.895,485.505.564.675,17.722.792.817,16.365.160.863,7.707.532.489,2.463.393.742.739,1936092691895.0,485505564675.0,17722792817.0,16365160863.0,7707532489.0,2463393742739.0
