row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,174.476.727.736,317.522.895.836,90.605.249.620,20.069.475.690,602.674.348.882,174476727736.0,317522895836.0,90605249620.0,20069475690.0,602674348882.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,6.657.530.509,3.220.157.560,-,9.877.688.069,,6657530509.0,3220157560.0,,9877688069.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(100.000.000),(2.456.845.455),-,(2.556.845.455),,-100000000.0,-2456845455.0,,-2556845455.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,174.476.727.736,324.080.426.345,91.368.561.725,20.069.475.690,609.995.191.496,174476727736.0,324080426345.0,91368561725.0,20069475690.0,609995191496.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,91.876.417.276,230.038.913.580,45.252.853.192,14.604.879.569,381.773.063.617,91876417276.0,230038913580.0,45252853192.0,14604879569.0,381773063617.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,9.556.836.468,19.020.654.228,7.803.913.512,1.243.883.741,37.625.287.949,9556836468.0,19020654228.0,7803913512.0,1243883741.0,37625287949.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(100.000.000),(1.199.311.288),-,(1.299.311.288),,-100000000.0,-1199311288.0,,-1299311288.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,101.433.253.744,248.959.567.808,51.857.455.416,15.848.763.310,418.099.040.278,101433253744.0,248959567808.0,51857455416.0,15848763310.0,418099040278.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,82.600.310.460,87.483.982.256,45.352.396.428,5.464.596.121,220.901.285.265,82600310460.0,87483982256.0,45352396428.0,5464596121.0,220901285265.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,73.043.473.992,75.120.858.537,39.511.106.309,4.220.712.380,191.896.151.218,73043473992.0,75120858537.0,39511106309.0,4220712380.0,191896151218.0
