row_label_raw,row_label_full,Ban Kiểm soát,Ban Kiểm soát_1,Ban Kiểm soát_2,numeric__Ban Kiểm soát_1,numeric__Ban Kiểm soát_2
,,,Ông Trần Văn KhánhBà Lâm Thị Thúy Kiều,Trường banThành viên(từ ngày 28 tháng 12 năm 2023),,
,,,Bà Vũ Thị Thảo Nguyên,Thành viên(từ ngày 28 tháng 12 năm 2023),,
,,,Bà Nguyễn Thị Hồng Cúc,Thành viên(dến ngày 27 tháng 12 năm 2023),,
,,,Bà Đỗ Thị Hạnh,Thành viên(dến ngày 27 tháng 12 năm 2023),,
