row_label_raw,row_label_full,col_0,Số đầu năm,Tăng,Giảm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng,numeric__Giảm,numeric__VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,304.279.877.500,178.419.203.498,(304.279.877.499),178.419.203.499,304279877500.0,178419203498.0,-304279877499.0,178419203499.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,7.168.683.846,(7.168.683.846),-,,7168683846.0,-7168683846.0,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.876.484.560,14.725.358.144,(23.544.583.940),1.057.258.764,9876484560.0,14725358144.0,-23544583940.0,1057258764.0
Khác,Phải nộp > Khác,Khác,864.104.472,5.142.204.541,(5.907.438.341),98.870.672,864104472.0,5142204541.0,-5907438341.0,98870672.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,315.020.466.532,205.455.450.029,(340.900.583.626),179.575.332.935,315020466532.0,205455450029.0,-340900583626.0,179575332935.0
,,,Số đầu năm,Tăng,Giảm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,5.350.000.000,76.110.702,(5.426.110.702),-,5350000000.0,76110702.0,-5426110702.0,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,14.119.042.723,8.085.303.412,(3.018.464.026),19.185.882.109,14119042723.0,8085303412.0,-3018464026.0,19185882109.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,19.469.042.723,8.161.414.114,(8.444.574.728),19.185.882.109,19469042723.0,8161414114.0,-8444574728.0,19185882109.0
