row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,VNDTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.308.225.593,36.876.865.355,42.185.090.948,5308225593.0,36876865355.0,42185090948.0
Mua mới,Nguyên giá > Mua mới,Mua mới,75.000.000,-,75.000.000,75000000.0,,75000000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.383.225.593,36.876.865.355,42.260.090.948,5383225593.0,36876865355.0,42260090948.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,4.299.610.593,5.126.419.538,9.426.030.131,4299610593.0,5126419538.0,9426030131.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(4.365.901.237),(20.827.283.790),(25.193.185.027),-4365901237.0,-20827283790.0,-25193185027.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(614.419.522),(5.291.740.956),(5.906.160.478),-614419522.0,-5291740956.0,-5906160478.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(4.980.320.759),(26.119.024.746),(31.099.345.505),-4980320759.0,-26119024746.0,-31099345505.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,942.324.356,16.049.581.565,16.991.905.921,942324356.0,16049581565.0,16991905921.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,402.904.834,10.757.840.609,11.160.745.443,402904834.0,10757840609.0,11160745443.0
