row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,VND > Số cuối năm,VND > Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__VND > Số cuối năm,numeric__VND > Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Commonwealth Properties,Phải thu ngắn hạn khác > Commonwealth Properties,Commonwealth Properties,Cho vay,36.461.994.959,-,,36461994959.0,
Commonwealth Properties,Phải thu ngắn hạn khác > Commonwealth Properties,Commonwealth Properties,Lãi cho vay,839.578.918,-,,839578918.0,
Sài Gòn - KL,Phải thu ngắn hạn khác > Sài Gòn - KL,Sài Gòn - KL,Cho mượn,-,1.365.258.944.270,,,1365258944270.0
Sài Gòn - KL,Phải thu ngắn hạn khác > Sài Gòn - KL,Sài Gòn - KL,,37.301.573.877,1.365.258.944.270,,37301573877.0,1365258944270.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
Serenity (i),Phải thu dài hạn khác > Serenity (i),Serenity (i),HĐHTĐT,125.392.276.326,272.029.276.326,,125392276326.0,272029276326.0
Coinin (ii),Phải thu dài hạn khác > Coinin (ii),Coinin (ii),HĐHTĐT,128.821.101.412,123.122.876.412,,128821101412.0,123122876412.0
ĐK Phú Quốc (iii),Phải thu dài hạn khác > ĐK Phú Quốc (iii),ĐK Phú Quốc (iii),HĐHTĐT,41.577.600.000,41.348.900.000,,41577600000.0,41348900000.0
Bắc Cường,Phải thu dài hạn khác > Bắc Cường,Bắc Cường,HĐHTĐT,-,118.307.000.000,,,118307000000.0
Cao Ôc Bình Dương,Phải thu dài hạn khác > Cao Ôc Bình Dương,Cao Ôc Bình Dương,HĐHTĐT,-,46.961.161.441,,,46961161441.0
,,,,295.790.977.738,601.769.214.179,,295790977738.0,601769214179.0
