row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.927.719.160.000,71.680.300.000,179.413.584.076,1.886.274.913.330,7.065.087.957.406,4927719160000.0,71680300000.0,179413584076.0,1886274913330.0,7065087957406.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.199.312.954.720,1.199.312.954.720,,,,1199312954720.0,1199312954720.0
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,27.970.000.000,(27.970.000.000),-,,,27970000000.0,-27970000000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(27.970.000.000),(27.970.000.000),,,,-27970000000.0,-27970000000.0
Chi cổ tức bằng cổ phiếu,Năm trước > Chi cổ tức bằng cổ phiếu,Chi cổ tức bằng cổ phiếu,1.788.743.030.000,-,-,(1.788.743.030.000),-,1788743030000.0,,,-1788743030000.0,
Thủ lao HĐQT,Năm trước > Thủ lao HĐQT,Thủ lao HĐQT,-,-,-,(12.691.666.667),(12.691.666.667),,,,-12691666667.0,-12691666667.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,6.716.462.190.000,71.680.300.000,207.383.584.076,1.228.213.171.383,8.223.739.245.459,6716462190000.0,71680300000.0,207383584076.0,1228213171383.0,8223739245459.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,6.716.462.190.000,71.680.300.000,207.383.584.076,1.228.213.171.383,8.223.739.245.459,6716462190000.0,71680300000.0,207383584076.0,1228213171383.0,8223739245459.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),671.646.210.000,(559.400.000),-,-,671.086.810.000,671646210000.0,-559400000.0,,,671086810000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,750.552.316.518,750.552.316.518,,,,750552316518.0,750552316518.0
Phân phối lợi nhuận,Năm nay > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,22.745.258.259,(22.745.258.259),-,,,22745258259.0,-22745258259.0,
Thủ lao HĐQT,Năm nay > Thủ lao HĐQT,Thủ lao HĐQT,-,-,-,(4.520.000.000),(4.520.000.000),,,,-4520000000.0,-4520000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.388.108.400.000,71.120.900.000,230.128.842.335,1.951.500.229.642,9.640.858.371.977,7388108400000.0,71120900000.0,230128842335.0,1951500229642.0,9640858371977.0
