row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Trả trước cho các cá nhân đề nhận chuyển nhượng vốn và dự án,Trả trước cho các cá nhân đề nhận chuyển nhượng vốn và dự án,Trả trước cho các cá nhân đề nhận chuyển nhượng vốn và dự án,501.000.000.000,520.293.113.181,501000000000.0,520293113181.0
- Bà Nguyễn Thị Xuân Diễm (i),- Bà Nguyễn Thị Xuân Diễm (i),- Bà Nguyễn Thị Xuân Diễm (i),300.000.000.000,300.000.000.000,300000000000.0,300000000000.0
- Ông Võ Ngọc Châu (ii),- Ông Võ Ngọc Châu (ii),- Ông Võ Ngọc Châu (ii),150.000.000.000,150.000.000.000,150000000000.0,150000000000.0
- Ông Nguyễn Cao Tiến (iii),- Ông Nguyễn Cao Tiến (iii),- Ông Nguyễn Cao Tiến (iii),51.000.000.000,51.000.000.000,51000000000.0,51000000000.0
- Khác,- Khác,- Khác,-,19.293.113.181,,19293113181.0
Tổng Công ty Cổ phần Điền bù Giải tỏa,Tổng Công ty Cổ phần Điền bù Giải tỏa,Tổng Công ty Cổ phần Điền bù Giải tỏa,178.934.648.207,178.934.648.207,178934648207.0,178934648207.0
Công ty Cổ phần Đức Khải,Công ty Cổ phần Đức Khải,Công ty Cổ phần Đức Khải,70.228.366.367,70.228.366.367,70228366367.0,70228366367.0
Khác,Khác,Khác,16.872.843.941,9.251.856.387,16872843941.0,9251856387.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,767.035.858.515,778.707.984.142,767035858515.0,778707984142.0
