row_label_raw,row_label_full,col_0,Số đầu năm,Tăng,Giảm,Phân loại lại,Chênh lệch tỷ giáhối đoái,VND,numeric__Số đầu năm,numeric__Tăng,numeric__Giảm,numeric__Phân loại lại,numeric__Chênh lệch tỷ giáhối đoái,numeric__VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.644.466.838.466,349.873.733.751,(2.769.322.596.200),557.662.700.000,-,782.680.676.017,2644466838466.0,349873733751.0,-2769322596200.0,557662700000.0,,782680676017.0
Vay bên khác(Thuyết minh số 22.2),Vay bên khác(Thuyết minh số 22.2),Vay bên khác(Thuyết minh số 22.2),320.000.000.000,253.000.000.000,(250.000.000.000),366.150.000.000,-,689.150.000.000,320000000000.0,253000000000.0,-250000000000.0,366150000000.0,,689150000000.0
Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),110.004.334.960,64.918.537.257,(129.902.596.200),48.510.400.000,-,93.530.676.017,110004334960.0,64918537257.0,-129902596200.0,48510400000.0,,93530676017.0
Trái phiếu,Trái phiếu,Trái phiếu,2.214.462.503.506,31.955.196.494,(2.389.420.000.000),143.002.300.000,-,-,2214462503506.0,31955196494.0,-2389420000000.0,143002300000.0,,
Dài hạn,Dài hạn,Dài hạn,1.289.912.500.000,519.494.449.650,(312.182.600.000),(557.662.700.000),21.750.000.000,961.311.649.650,1289912500000.0,519494449650.0,-312182600000.0,-557662700000.0,21750000000.0,961311649650.0
Vay bên khác(Thuyết minh số 22.2),Vay bên khác(Thuyết minh số 22.2),Vay bên khác(Thuyết minh số 22.2),812.250.000.000,-,(101.700.000.000),(366.150.000.000),21.750.000.000,366.150.000.000,812250000000.0,,-101700000000.0,-366150000000.0,21750000000.0,366150000000.0
Vay bên liên quan(Thuyết minh số 34),Vay bên liên quan(Thuyết minh số 34),Vay bên liên quan(Thuyết minh số 34),-,410.000.000.000,(56.934.900.000),-,-,353.065.100.000,,410000000000.0,-56934900000.0,,,353065100000.0
Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),182.000.000.000,108.606.949.650,-,(48.510.400.000),-,242.096.549.650,182000000000.0,108606949650.0,,-48510400000.0,,242096549650.0
Trái phiếu,Trái phiếu,Trái phiếu,295.662.500.000,887.500.000,(153.547.700.000),(143.002.300.000),-,-,295662500000.0,887500000.0,-153547700000.0,-143002300000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.934.379.338.466,869.368.183.401,(3.081.505.196.200),-,21.750.000.000,1.743.992.325.667,3934379338466.0,869368183401.0,-3081505196200.0,,21750000000.0,1743992325667.0
