row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
BIDICI (v),Phải trả ngắn hạn khác > BIDICI (v),BIDICI (v),Mượn tiền,760.830.000.000,-,,760830000000.0,
Bến Thành - Long Hải,Phải trả ngắn hạn khác > Bến Thành - Long Hải,Bến Thành - Long Hải,Lãi đi vay,90.278.665.713,30.697.029.268,,90278665713.0,30697029268.0
AKYN,Phải trả ngắn hạn khác > AKYN,AKYN,Lãi đi vay,35.713.520.351,-,,35713520351.0,
,,,Mượn tiền,-,46.399.000.000,,,46399000000.0
Cao Óc Hòa Phú,Phải trả ngắn hạn khác > Cao Óc Hòa Phú,Cao Óc Hòa Phú,Lãi đi vay,9.180.683.457,-,,9180683457.0,
Cao Óc Thiên Long,Phải trả ngắn hạn khác > Cao Óc Thiên Long,Cao Óc Thiên Long,Lãi đi vay,7.595.410.123,-,,7595410123.0,
Cao Óc Bình Dương,Phải trả ngắn hạn khác > Cao Óc Bình Dương,Cao Óc Bình Dương,Lãi đi vay,3.192.475.478,6.566.095.426,,3192475478.0,6566095426.0
Bắc Cường,Phải trả ngắn hạn khác > Bắc Cường,Bắc Cường,Lãi đi vay,1.810.287.028,-,,1810287028.0,
Ông Lê Quang Phúc,Phải trả ngắn hạn khác > Ông Lê Quang Phúc,Ông Lê Quang Phúc,Đặt cọc mua sản phẩm,400.000.000,400.000.000,,400000000.0,400000000.0
KCN Phát Đạt,Phải trả ngắn hạn khác > KCN Phát Đạt,KCN Phát Đạt,Lãi đi vay,-,101.014.978.082,,,101014978082.0
Commonwealth Properties,Phải trả ngắn hạn khác > Commonwealth Properties,Commonwealth Properties,Lãi đi vay,-,3.962.533.699,,,3962533699.0
,,,,909.001.042.150,189.039.636.475,,909001042150.0,189039636475.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,,,
Bến Thành - Long Hải (i),Phải trả dài hạn khác > Bến Thành - Long Hải (i),Bến Thành - Long Hải (i),Mượn tiền,1.362.616.204.000,1.362.616.204.000,,1362616204000.0,1362616204000.0
Cao Óc Hòa Phú (ii),Phải trả dài hạn khác > Cao Óc Hòa Phú (ii),Cao Óc Hòa Phú (ii),Mượn tiền,1.155.125.371.242,-,,1155125371242.0,
Cao Óc Thiên Long (iii),Phải trả dài hạn khác > Cao Óc Thiên Long (iii),Cao Óc Thiên Long (iii),Mượn tiền,1.012.234.984.326,-,,1012234984326.0,
Bắc Cường (iv),Phải trả dài hạn khác > Bắc Cường (iv),Bắc Cường (iv),Mượn tiền,137.738.737.966,-,,137738737966.0,
BIDICI (v),Phải trả dài hạn khác > BIDICI (v),BIDICI (v),Mượn tiền,20.950.000.000,782.054.000.000,,20950000000.0,782054000000.0
Cao Óc Bình Dương (vi),Phải trả dài hạn khác > Cao Óc Bình Dương (vi),Cao Óc Bình Dương (vi),Mượn tiền,3.859.292.770,-,,3859292770.0,
KCN Phát Đạt,Phải trả dài hạn khác > KCN Phát Đạt,KCN Phát Đạt,Mượn tiền,-,2.014.890.000.000,,,2014890000000.0
Commonwealth Properties,Phải trả dài hạn khác > Commonwealth Properties,Commonwealth Properties,Mượn tiền,-,77.886.000.000,,,77886000000.0
,,,,3.692.524.590.304,4.237.446.204.000,,3692524590304.0,4237446204000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,
AKYN (vii),Vay dài hạn > AKYN (vii),AKYN (vii),Vay,353.065.100.000,-,,353065100000.0,
