row_label_raw,row_label_full,Lãi do thanh lý khoản đầu tư (Thuyết minh số 4.1 và 4.5),Năm nay > 942.295.863.325,VNDNăm trước > 1.362.738.155.569,numeric__Năm nay > 942.295.863.325,numeric__VNDNăm trước > 1.362.738.155.569
Thu nhập cổ tức,Thu nhập cổ tức,Thu nhập cổ tức,119.542.910.359,-,119542910359.0,
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",5.740.755.656,3.582.388.165,5740755656.0,3582388165.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.067.579.529.340,1.366.320.543.734,1067579529340.0,1366320543734.0
