row_label_raw,row_label_full,Ông Dương Hảo Tôn > Ông Trần Trọng Gia Vinh,Chủ tịch Ủy ban kiểm toán > Thành viên,bỗ nhiệm ngày 30 tháng 6 năm 2023 > miễn nhiệm ngày 30 tháng 6 năm 2023 > bỗ nhiệm ngày 30 tháng 6 năm 2023,numeric__Chủ tịch Ủy ban kiểm toán > Thành viên,numeric__bỗ nhiệm ngày 30 tháng 6 năm 2023 > miễn nhiệm ngày 30 tháng 6 năm 2023 > bỗ nhiệm ngày 30 tháng 6 năm 2023
Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,Thành viên,,,
Bà Trần Thị Hường,Bà Trần Thị Hường,Bà Trần Thị Hường,Thành viên,miễn nhiệm ngày 30 tháng 6 năm 2023,,
