row_label_raw,row_label_full,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc_1,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc_2,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc_3,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc_4,numeric__Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc_1,numeric__Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc_2,numeric__Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc_3,numeric__Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc_4
Bình Dương,Bình Dương,Bình Dương,"99,5",3.473.659.990.959,"99,5",1.871.709.990.959,99.5,3473659990959.0,99.5,1871709990959.0
Công ty Cổ phần Bến Thành - Long Hải,Công ty Cổ phần Bến Thành - Long Hải,Công ty Cổ phần Bến Thành - Long Hải,"99,9",3.350.000.000.000,"99,9",3.350.000.000.000,99.9,3350000000000.0,99.9,3350000000000.0
Công ty Cổ phần Đầu tư Serenity,Công ty Cổ phần Đầu tư Serenity,Công ty Cổ phần Đầu tư Serenity,"99,34",1.360.000.000.000,"99,34",1.360.000.000.000,99.34,1360000000000.0,99.34,1360000000000.0
Công ty Cổ phần Đầu tư Bắc Cường,Công ty Cổ phần Đầu tư Bắc Cường,Công ty Cổ phần Đầu tư Bắc Cường,99,758.835.000.000,99,461.835.000.000,99.0,758835000000.0,99.0,461835000000.0
Công ty Cổ phần ĐK Phú Quốc,Công ty Cổ phần ĐK Phú Quốc,Công ty Cổ phần ĐK Phú Quốc,99,393.624.000.000,99,393.624.000.000,99.0,393624000000.0,99.0,393624000000.0
Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,"99,9",300.000.000.000,"99,9",300.000.000.000,99.9,300000000000.0,99.9,300000000000.0
Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,94,215.232.000.000,94,187.137.000.000,94.0,215232000000.0,94.0,187137000000.0
Công ty Cổ phần Đầu tư và Phát triển Khu Công nghiệp Phát Đạt,Công ty Cổ phần Đầu tư và Phát triển Khu Công nghiệp Phát Đạt,Công ty Cổ phần Đầu tư và Phát triển Khu Công nghiệp Phát Đạt,-,-,68,2.040.000.000.000,,,68.0,2040000000000.0
Công ty Cổ phần Bất động sản Commonwealth Properties,Công ty Cổ phần Bất động sản Commonwealth Properties,Công ty Cổ phần Bất động sản Commonwealth Properties,-,-,51,85.680.000.000,,,51.0,85680000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,9.851.350.990.959,,10.049.985.990.959,,9851350990959.0,,10049985990959.0
,,,,Số cuối năm,Số đầu năm,Số đầu năm,,,,
,,,,% sở hữu,,% sở hữu,,,,
