row_label_raw,row_label_full,"Bên cho vay > ACA Vietnam Real Estate III LP (""ACA"") > Khoàn vay 1 (*)","Số cuối năm > VND > ACA Vietnam Real Estate III LP (""ACA"") > 732.300.000.000","Số cuối năm > USD > ACA Vietnam Real Estate III LP (""ACA"") > 30.000.000","Kỳ hạn trả gốc > ACA Vietnam Real Estate III LP (""ACA"") > Từ ngày 14 tháng 3 năm 2024đến ngày 23 tháng 3 năm 2025","Mục đích > ACA Vietnam Real Estate III LP (""ACA"") > Tài trợ các dự án củacông ty con","Lãi suất%/năm > ACA Vietnam Real Estate III LP (""ACA"") > 8","Hình thức đảm bảo > ACA Vietnam Real Estate III LP (""ACA"") > Tín chấp","numeric__Số cuối năm > VND > ACA Vietnam Real Estate III LP (""ACA"") > 732.300.000.000","numeric__Số cuối năm > USD > ACA Vietnam Real Estate III LP (""ACA"") > 30.000.000","numeric__Kỳ hạn trả gốc > ACA Vietnam Real Estate III LP (""ACA"") > Từ ngày 14 tháng 3 năm 2024đến ngày 23 tháng 3 năm 2025","numeric__Mục đích > ACA Vietnam Real Estate III LP (""ACA"") > Tài trợ các dự án củacông ty con","numeric__Lãi suất%/năm > ACA Vietnam Real Estate III LP (""ACA"") > 8","numeric__Hình thức đảm bảo > ACA Vietnam Real Estate III LP (""ACA"") > Tín chấp"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.055.300.000.000,30.000.000,,,,,1055300000000.0,30000000.0,,,,
Trong đó:Ngắn hạnDài hạn,Trong đó:Ngắn hạnDài hạn,Trong đó:Ngắn hạnDài hạn,689.150.000.000366.150.000.000,,,,,,6.891500000003661e+23,,,,,
