row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phân mềm máy vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phân mềm máy vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,166.507.249.624,129.772.188.308,296.279.437.932,166507249624.0,129772188308.0,296279437932.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.340.358.000,1.340.358.000,,1340358000.0,1340358000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,166.507.249.624,131.112.546.308,297.619.795.932,166507249624.0,131112546308.0,297619795932.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.543.438.045,76.721.081.484,103.264.519.529,26543438045.0,76721081484.0,103264519529.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.178.493.690,13.950.634.016,16.129.127.706,2178493690.0,13950634016.0,16129127706.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,28.721.931.735,90.671.715.500,119.393.647.235,28721931735.0,90671715500.0,119393647235.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,139.963.811.579,53.051.106.824,193.014.918.403,139963811579.0,53051106824.0,193014918403.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,137.785.317.889,40.440.830.808,178.226.148.697,137785317889.0,40440830808.0,178226148697.0
