row_label_raw,row_label_full,col_0,Trong nước,Trong nước_1,Nước ngoài,Nước ngoài_1,Tổng cộng,Tổng cộng_1,numeric__Trong nước,numeric__Trong nước_1,numeric__Nước ngoài,numeric__Nước ngoài_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,2016VND,2015VND,2016VND,2015VND,2016VND,2015VND,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,38.064.089.962.852,32.644.060.337.849,5.745.036.418.358,5.269.439.176.914,43.809.126.381.210,37.913.499.514.763,38064089962852.0,32644060337849.0,5745036418358.0,5269439176914.0,43809126381210.0,37913499514763.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,(20.452.296.148.635),(19.927.431.395.418),(2.070.409.972.691),(2.543.086.970.671),(22.522.706.121.326),(22.470.518.366.089),-20452296148635.0,-19927431395418.0,-2070409972691.0,-2543086970671.0,-22522706121326.0,-22470518366089.0
Lợi nhuận theo bộ phận,Lợi nhuận theo bộ phận,Lợi nhuận theo bộ phận,17.611.793.814.217,12.716.628.942.431,3.674.626.445.667,2.726.352.206.243,21.286.420.259.884,15.442.981.148.674,17611793814217.0,12716628942431.0,3674626445667.0,2726352206243.0,21286420259884.0,15442981148674.0
