row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,10.006.413.990.000,-,(5.388.109.959),2.521.718.366.944,6.926.119.661.466,19.448.863.908.451,10006413990000.0,,-5388109959.0,2521718366944.0,6926119661466.0,19448863908451.0
Cổ phiếu thường đã phát hành,Cổ phiếu thường đã phát hành,Cổ phiếu thường đã phát hành,2.000.207.940.000,-,-,-,(2.000.207.940.000),-,2000207940000.0,,,,-2000207940000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,7.677.375.711.774,7.677.375.711.774,,,,,7677375711774.0,7677375711774.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,767.737.571.177,(767.737.571.177),-,,,,767737571177.0,-767737571177.0,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,(767.737.571.177),(767.737.571.177),,,,,-767737571177.0,-767737571177.0
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,-,-,(6.000.711.624.000),(6.000.711.624.000),,,,,-6000711624000.0,-6000711624000.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,12.006.621.930.000,-,(5.388.109.959),3.289.455.938.121,5.067.100.666.886,20.357.790.425.048,12006621930000.0,,-5388109959.0,3289455938121.0,5067100666886.0,20357790425048.0
Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,2.507.912.360.000,260.699.620.761,5.388.109.959,(2.419.035.050.000),-,354.965.040.720,2507912360000.0,260699620761.0,5388109959.0,-2419035050000.0,,354965040720.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(1.176.335.920),-,-,(1.176.335.920),,,-1176335920.0,,,-1176335920.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,9.245.370.494.638,9.245.370.494.638,,,,,9245370494638.0,9245370494638.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,924.537.049.464,(924.537.049.464),-,,,,924537049464.0,-924537049464.0,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,(924.537.049.464),(924.537.049.464),,,,,-924537049464.0,-924537049464.0
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,-,-,(7.238.478.492.000),(7.238.478.492.000),,,,,-7238478492000.0,-7238478492000.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,14.514.534.290.000,260.699.620.761,(1.176.335.920),1.794.957.937.585,5.224.918.570.596,21.793.934.083.022,14514534290000.0,260699620761.0,-1176335920.0,1794957937585.0,5224918570596.0,21793934083022.0
