row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.830.141.862.984,7.424.513.052.750,610.284.431.816,437.101.292.086,10.302.040.639.636,1830141862984.0,7424513052750.0,610284431816.0,437101292086.0,10302040639636.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,14.722.475.144,51.195.823.629,53.424.678.866,24.468.559.899,143.811.537.538,14722475144.0,51195823629.0,53424678866.0,24468559899.0,143811537538.0
Chuyên từ xây dựng cơ bản dở dang,Nguyên giá > Chuyên từ xây dựng cơ bản dở dang,Chuyên từ xây dựng cơ bản dở dang,18.104.707.577,286.538.779.294,32.785.877.437,9.147.523.458,346.576.887.766,18104707577.0,286538779294.0,32785877437.0,9147523458.0,346576887766.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(31.113.664.295),(11.201.850.063),(1.707.116.991),(44.022.631.349),,-31113664295.0,-11201850063.0,-1707116991.0,-44022631349.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,11.839.362.577,(8.015.376.172),-,(3.823.986.405),-,11839362577.0,-8015376172.0,,-3823986405.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.874.808.408.282,7.723.118.615.206,685.293.138.056,465.186.272.047,10.748.406.433.591,1874808408282.0,7723118615206.0,685293138056.0,465186272047.0,10748406433591.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,435.048.402.582,3.325.789.125.307,258.894.095.218,280.090.833.529,4.299.822.456.636,435048402582.0,3325789125307.0,258894095218.0,280090833529.0,4299822456636.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,83.517.372.994,679.753.310.142,56.931.539.128,56.990.219.961,877.192.442.225,83517372994.0,679753310142.0,56931539128.0,56990219961.0,877192442225.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(31.109.962.401),(8.109.577.835),(1.685.295.409),(40.904.835.645),,-31109962401.0,-8109577835.0,-1685295409.0,-40904835645.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,2.474.487.022,1.370.858.339,-,(3.845.345.361),-,2474487022.0,1370858339.0,,-3845345361.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,521.040.262.598,3.975.803.331.387,307.716.056.511,331.550.412.720,5.136.110.063.216,521040262598.0,3975803331387.0,307716056511.0,331550412720.0,5136110063216.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.395.093.460.402,4.098.723.927.443,351.390.336.598,157.010.458.557,6.002.218.183.000,1395093460402.0,4098723927443.0,351390336598.0,157010458557.0,6002218183000.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.353.768.145.684,3.747.315.283.819,377.577.081.545,133.635.859.327,5.612.296.370.375,1353768145684.0,3747315283819.0,377577081545.0,133635859327.0,5612296370375.0
