row_label_raw,row_label_full,col_0,Dự phòng trợ cấp thời việc VND,numeric__Dự phòng trợ cấp thời việc VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,87.099.730.000,87099730000.0
Tăng dự phòng trong năm,Tăng dự phòng trong năm,Tăng dự phòng trong năm,10.053.842.830,10053842830.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(1.417.529.330),-1417529330.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,95.736.043.500,95736043500.0
